"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008015","blood circulation","6/16","163/3861",2.90928424057253e-05,0.000662208508092223,0.000498734441241005,"Ttn/Pkp2/Myh6/Dsp/Actc1/Ctnna3",6
"GO:0098901","regulation of cardiac muscle cell action potential","3/16","18/3861",4.5896443623879e-05,0.000997204547827916,0.000751032713845292,"Pkp2/Dsp/Ctnna3",3
"GO:0007517","muscle organ development","5/16","108/3861",5.33264893851719e-05,0.00108275388576857,0.000815463177566284,"Ttn/Pkp2/Myh6/Dsp/Actc1",5
"GO:0055010","ventricular cardiac muscle tissue morphogenesis","3/16","19/3861",5.43642118377523e-05,0.00108275388576857,0.000815463177566284,"Pkp2/Myh6/Dsp",3
"GO:0086065","cell communication involved in cardiac conduction","3/16","20/3861",6.37961652524489e-05,0.00121978267962682,0.000918664779635264,"Pkp2/Dsp/Ctnna3",3
"GO:0030029","actin filament-based process","7/16","283/3861",6.79028444879228e-05,0.00124836767943181,0.000940193231371238,"Ttn/Pkp2/Myh6/Dsp/Actc1/Ctnna3/Gmfg",7
"GO:0086002","cardiac muscle cell action potential involved in contraction","3/16","21/3861",7.42406437364828e-05,0.00131433435948292,0.000989875249819772,"Pkp2/Dsp/Ctnna3",3
"GO:0003229","ventricular cardiac muscle tissue development","3/16","22/3861",8.57454601060883e-05,0.00146379749752537,0.00110244162993542,"Pkp2/Myh6/Dsp",3
"GO:0003208","cardiac ventricle morphogenesis","3/16","23/3861",9.83579034958046e-05,0.00151661541519337,0.00114222081478999,"Pkp2/Myh6/Dsp",3
"GO:0034113","heterotypic cell-cell adhesion","3/16","23/3861",9.83579034958046e-05,0.00151661541519337,0.00114222081478999,"Pkp2/Dsp/Ctnna3",3
"GO:0086004","regulation of cardiac muscle cell contraction","3/16","23/3861",9.83579034958046e-05,0.00151661541519337,0.00114222081478999,"Pkp2/Dsp/Ctnna3",3
"GO:0098900","regulation of action potential","3/16","24/3861",0.000112124742712786,0.00167486334427224,0.00126140335551884,"Pkp2/Dsp/Ctnna3",3
"GO:1903115","regulation of actin filament-based movement","3/16","25/3861",0.000127092229574891,0.00184091168899387,0.00138646068627154,"Pkp2/Dsp/Ctnna3",3
"GO:0061337","cardiac conduction","3/16","27/3861",0.000160811588474936,0.0021363661365478,0.0016089786802452,"Pkp2/Dsp/Ctnna3",3
"GO:0086001","cardiac muscle cell action potential","3/16","27/3861",0.000160811588474936,0.0021363661365478,0.0016089786802452,"Pkp2/Dsp/Ctnna3",3
"GO:0014706","striated muscle tissue development","5/16","136/3861",0.00016089786802452,0.0021363661365478,0.0016089786802452,"Ttn/Pkp2/Myh6/Dsp/Actc1",5
"GO:0060537","muscle tissue development","5/16","139/3861",0.000178431144701717,0.00230513749101137,0.001736086813314,"Ttn/Pkp2/Myh6/Dsp/Actc1",5
"GO:0008016","regulation of heart contraction","4/16","74/3861",0.000190126805241856,0.00239159507646334,0.00180120131281758,"Pkp2/Myh6/Dsp/Ctnna3",4
"GO:0003206","cardiac chamber morphogenesis","3/16","29/3861",0.000199875780784652,0.00244975956961702,0.00184500720724294,"Pkp2/Myh6/Dsp",3
"GO:0086003","cardiac muscle cell contraction","3/16","30/3861",0.000221522420151027,0.00264719292080477,0.00199370178135924,"Pkp2/Dsp/Ctnna3",3
"GO:0097435","supramolecular fiber organization","6/16","250/3861",0.000320099551184023,0.00362582731945033,0.00273074860879104,"Ttn/Pkp2/Myh6/Dsp/Actc1/Gmfg",6
"GO:1903522","regulation of blood circulation","4/16","85/3861",0.000325450778181301,0.00362582731945033,0.00273074860879104,"Pkp2/Myh6/Dsp/Ctnna3",4
"GO:0007507","heart development","5/16","158/3861",0.000326172750494486,0.00362582731945033,0.00273074860879104,"Ttn/Pkp2/Myh6/Dsp/Actc1",5
"GO:0003231","cardiac ventricle development","3/16","35/3861",0.000352615073671234,0.00383068193670114,0.00288503242094646,"Pkp2/Myh6/Dsp",3
"GO:0044057","regulation of system process","5/16","162/3861",0.000366603511329383,0.00389414396478767,0.00293282809063506,"Ttn/Pkp2/Myh6/Dsp/Ctnna3",5
"GO:0035637","multicellular organismal signaling","3/16","36/3861",0.000383697738903487,0.00390228764246525,0.00293896140436713,"Pkp2/Dsp/Ctnna3",3
"GO:0055117","regulation of cardiac muscle contraction","3/16","36/3861",0.000383697738903487,0.00390228764246525,0.00293896140436713,"Pkp2/Dsp/Ctnna3",3
"GO:0001508","action potential","3/16","37/3861",0.000416496941634377,0.00414761537710901,0.00312372706225783,"Pkp2/Dsp/Ctnna3",3
"GO:0090257","regulation of muscle system process","4/16","95/3861",0.000498992241592784,0.00486772023431328,0.00366606544843678,"Ttn/Pkp2/Dsp/Ctnna3",4
"GO:0072359","circulatory system development","6/16","277/3861",0.000559454537729405,0.00534838538069311,0.00402807267165172,"Ttn/Pkp2/Myh6/Dsp/Actc1/Mcam",6
"GO:0006942","regulation of striated muscle contraction","3/16","42/3861",0.000607618526563786,0.00558541645572095,0.00420658979928775,"Pkp2/Dsp/Ctnna3",3
"GO:0030239","myofibril assembly","3/16","42/3861",0.000607618526563786,0.00558541645572095,0.00420658979928775,"Ttn/Myh6/Actc1",3
"GO:0003205","cardiac chamber development","3/16","43/3861",0.000651536921871927,0.00587612544631662,0.00442553380894139,"Pkp2/Myh6/Dsp",3
"GO:0034109","homotypic cell-cell adhesion","3/16","46/3861",0.000795351175952305,0.00704033077972596,0.00530234117301537,"Pkp2/Dsp/Ctnna3",3
"GO:0055013","cardiac muscle cell development","3/16","49/3861",0.000958008264467582,0.00832596273482735,0.00627059954924235,"Ttn/Myh6/Actc1",3
"GO:0055006","cardiac cell development","3/16","50/3861",0.00101657804849008,0.00867721977104029,0.0065351445974362,"Ttn/Myh6/Actc1",3
"GO:0045109","intermediate filament organization","2/16","12/3861",0.00103742510906117,0.00869981056370592,0.00655215858354421,"Pkp2/Dsp",2
"GO:0061061","muscle structure development","5/16","204/3861",0.00106119344992641,0.00874569774249693,0.00658671796506045,"Ttn/Pkp2/Myh6/Dsp/Actc1",5
"GO:0010927","cellular component assembly involved in morphogenesis","3/16","52/3861",0.00114044798700114,0.00923956165739909,0.00695866568339681,"Ttn/Myh6/Actc1",3
"GO:0055007","cardiac muscle cell differentiation","3/16","54/3861",0.00127351292219422,0.010145652946814,0.00764107753316533,"Ttn/Myh6/Actc1",3
"GO:0006937","regulation of muscle contraction","3/16","58/3861",0.00156825877851917,0.0122889786251175,0.00925529770929348,"Pkp2/Dsp/Ctnna3",3
"GO:0035051","cardiocyte differentiation","3/16","59/3861",0.00164808934220811,0.0127062371867012,0.00956955101927289,"Ttn/Myh6/Actc1",3
"GO:0003008","system process","6/16","362/3861",0.00231106465702237,0.0175092743192705,0.0131869011609569,"Ttn/Pkp2/Myh6/Dsp/Actc1/Ctnna3",6
"GO:0009888","tissue development","6/16","363/3861",0.00234433798417011,0.0175092743192705,0.0131869011609569,"Ttn/Pkp2/Myh6/Dsp/Actc1/Ctsz",6
"GO:0045104","intermediate filament cytoskeleton organization","2/16","19/3861",0.00264276171321378,0.019434463060249,0.0146368341039532,"Pkp2/Dsp",2
"GO:0032970","regulation of actin filament-based process","4/16","151/3861",0.00283210532330277,0.0205113082505867,0.0154478472180151,"Pkp2/Dsp/Ctnna3/Gmfg",4
"GO:0045103","intermediate filament-based process","2/16","20/3861",0.00292931344076504,0.0208986839505326,0.0157395946070957,"Pkp2/Dsp",2
"GO:0098609","cell-cell adhesion","4/16","157/3861",0.00326492610074052,0.0229505099434407,0.0172849028862733,"Pkp2/Dsp/Ctnna3/Mcam",4
"GO:0007010","cytoskeleton organization","6/16","402/3861",0.00395705994856305,0.0274126761654078,0.0206455301664159,"Ttn/Pkp2/Myh6/Dsp/Actc1/Gmfg",6
"GO:0031032","actomyosin structure organization","3/16","85/3861",0.00468777822801832,0.0320108284713251,0.0241085737440942,"Ttn/Myh6/Actc1",3
"GO:0055002","striated muscle cell development","3/16","90/3861",0.00550550455585706,0.037065227854925,0.0279152343677259,"Ttn/Myh6/Actc1",3
"GO:0048747","muscle fiber development","2/16","29/3861",0.00612487021306658,0.0406623328034143,0.0306243510653329,"Ttn/Myh6",2
"GO:0045214","sarcomere organization","2/16","30/3861",0.00654653791256056,0.0425980229774189,0.0320821930373866,"Ttn/Myh6",2
"GO:0055001","muscle cell development","3/16","96/3861",0.00659467301324058,0.0425980229774189,0.0320821930373866,"Ttn/Myh6/Actc1",3
"GO:0006754","ATP biosynthetic process","2/16","31/3861",0.00698115179989577,0.0444932074713357,0.0335095286394997,"Atp5j2/Atp5o",2
"GO:0006928","movement of cell or subcellular component","6/16","453/3861",0.00719948673995931,0.0452809823907967,0.034102831926123,"Pkp2/Myh6/Dsp/Actc1/Ctnna3/Mcam",6
"GO:0060419","heart growth","2/16","33/3861",0.00788881593795501,0.0489721301083441,0.0368827758138156,"Ttn/Myh6",2
