"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015986","ATP synthesis coupled proton transport","8/15","16/3949",5.61484810659982e-17,2.01072276451773e-15,1.64851704733511e-15,"Atp5b/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5g3/Atp5k/Atp5c1",8
"GO:0009156","ribonucleoside monophosphate biosynthetic process","10/15","47/3949",5.92842092732499e-17,2.01072276451773e-15,1.64851704733511e-15,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0009124","nucleoside monophosphate biosynthetic process","10/15","49/3949",9.38678317938324e-17,2.93878519539152e-15,2.40940102661092e-15,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0009152","purine ribonucleotide biosynthetic process","10/15","75/3949",9.18521313486805e-15,2.58262441822073e-13,2.1173980100245e-13,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:1902600","hydrogen ion transmembrane transport","8/15","27/3949",9.51827181162432e-15,2.58262441822073e-13,2.1173980100245e-13,"Atp5b/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5g3/Atp5k/Atp5c1",8
"GO:0006164","purine nucleotide biosynthetic process","10/15","78/3949",1.38942044360801e-14,3.53433825342787e-13,2.89767289884038e-13,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0009260","ribonucleotide biosynthetic process","10/15","79/3949",1.58892176484942e-14,3.80406563702185e-13,3.11881238054035e-13,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0046390","ribose phosphate biosynthetic process","10/15","82/3949",2.35111721561927e-14,5.03634056187917e-13,4.12910890499339e-13,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0072522","purine-containing compound biosynthetic process","10/15","82/3949",2.35111721561927e-14,5.03634056187917e-13,4.12910890499339e-13,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0009165","nucleotide biosynthetic process","10/15","99/3949",1.67831876988179e-13,3.41537869670945e-12,2.80014236869752e-12,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:1901293","nucleoside phosphate biosynthetic process","10/15","101/3949",2.06485045064813e-13,4.00187682577994e-12,3.28099044037823e-12,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0015672","monovalent inorganic cation transport","10/15","111/3949",5.47435248639606e-13,1.01275520998327e-11,8.30320448893566e-12,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0046034","ATP metabolic process","10/15","129/3949",2.55683327729135e-12,4.52448323416339e-11,3.70945605904512e-11,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0009205","purine ribonucleoside triphosphate metabolic process","10/15","141/3949",6.32908172017328e-12,1.07330677504605e-10,8.799644321469e-11,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0009199","ribonucleoside triphosphate metabolic process","10/15","143/3949",7.3030846074407e-12,1.18894217409135e-10,9.74769608656295e-11,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0009144","purine nucleoside triphosphate metabolic process","10/15","147/3949",9.66364995586842e-12,1.51273289693786e-10,1.24023361781793e-10,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0009167","purine ribonucleoside monophosphate metabolic process","10/15","148/3949",1.0351578418328e-11,1.55545372192433e-10,1.27525883835513e-10,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0009126","purine nucleoside monophosphate metabolic process","10/15","149/3949",1.10830854879129e-11,1.55545372192433e-10,1.27525883835513e-10,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0009161","ribonucleoside monophosphate metabolic process","10/15","149/3949",1.10830854879129e-11,1.55545372192433e-10,1.27525883835513e-10,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:1901137","carbohydrate derivative biosynthetic process","10/15","151/3949",1.26866413215837e-11,1.72115433929486e-10,1.41111063120773e-10,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0009123","nucleoside monophosphate metabolic process","10/15","153/3949",1.44951176042841e-11,1.90306866611085e-10,1.56025544331344e-10,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0009141","nucleoside triphosphate metabolic process","10/15","154/3949",1.54832460689467e-11,1.96927535939416e-10,1.61453585653161e-10,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0090407","organophosphate biosynthetic process","10/15","160/3949",2.27879093861353e-11,2.81050882429002e-10,2.30423198577509e-10,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0009150","purine ribonucleotide metabolic process","10/15","194/3949",1.58135221877374e-10,1.89297162659092e-09,1.55197725495751e-09,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0009259","ribonucleotide metabolic process","10/15","198/3949",1.93943098343613e-10,2.25528117216716e-09,1.84902141879475e-09,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0006163","purine nucleotide metabolic process","10/15","200/3949",2.14434737907047e-10,2.42430384244911e-09,1.98759683966473e-09,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0019693","ribose phosphate metabolic process","10/15","208/3949",3.17187100373783e-10,3.48905810411161e-09,2.86054938317181e-09,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0072521","purine-containing compound metabolic process","10/15","213/3949",4.01909564263108e-10,4.3046629646075e-09,3.52923356984502e-09,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0006812","cation transport","10/15","245/3949",1.61232959504299e-09,1.68261062867306e-08,1.37951007187214e-08,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0009117","nucleotide metabolic process","10/15","264/3949",3.37012141679863e-09,3.42909854159261e-08,2.8113907608557e-08,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0006753","nucleoside phosphate metabolic process","10/15","265/3949",3.49799949093857e-09,3.47240437271219e-08,2.84689560623242e-08,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0055086","nucleobase-containing small molecule metabolic process","10/15","280/3949",6.01172270931585e-09,5.82564557783702e-08,4.77623082419329e-08,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0098662","inorganic cation transmembrane transport","8/15","140/3949",1.06773680284688e-08,1.01062529943879e-07,8.2857421420431e-08,"Atp5b/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5g3/Atp5k/Atp5c1",8
"GO:0098660","inorganic ion transmembrane transport","8/15","148/3949",1.66245360822253e-08,1.53776958760584e-07,1.26076027226446e-07,"Atp5b/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5g3/Atp5k/Atp5c1",8
"GO:0098655","cation transmembrane transport","8/15","150/3949",1.84971942674951e-08,1.67296845930456e-07,1.37160481468911e-07,"Atp5b/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5g3/Atp5k/Atp5c1",8
"GO:1901135","carbohydrate derivative metabolic process","10/15","329/3949",2.90873944885861e-08,2.57360207757708e-07,2.11000092743291e-07,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0006811","ion transport","10/15","332/3949",3.17727153870094e-08,2.75138194947081e-07,2.25575605323225e-07,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0055085","transmembrane transport","9/15","255/3949",6.04345664829148e-08,5.12434761636381e-07,4.20126262611491e-07,"Atp5b/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5g3/Atp5k/Atp5c1/Timm10",9
"GO:0034220","ion transmembrane transport","8/15","182/3949",8.52996156900855e-08,7.08509052772751e-07,5.80880304484578e-07,"Atp5b/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5g3/Atp5k/Atp5c1",8
"GO:0019637","organophosphate metabolic process","10/15","371/3949",9.32295337424178e-08,7.58888404663281e-07,6.22184467291504e-07,"Atp5b/Atp5s/Atp5a1/Atp5f1/Atp5d/Atp5e/Atp5j2/Atp5g3/Atp5k/Atp5c1",10
"GO:0043535","regulation of blood vessel endothelial cell migration","2/15","14/3949",0.00119383961222973,0.00952730827799017,0.00781108683337096,"Atp5b/Atp5a1",2
"GO:0010595","positive regulation of endothelial cell migration","2/15","19/3949",0.00221887715278589,0.0170393019091294,0.0139698919053253,"Atp5b/Atp5a1",2
"GO:0043534","blood vessel endothelial cell migration","2/15","19/3949",0.00221887715278589,0.0170393019091294,0.0139698919053253,"Atp5b/Atp5a1",2
"GO:0001936","regulation of endothelial cell proliferation","2/15","29/3949",0.00515388562736794,0.038845026858125,0.0318475973465036,"Atp5a1/Hmgb2",2
"GO:0010594","regulation of endothelial cell migration","2/15","32/3949",0.00625509078820996,0.0462876718327537,0.0379495460260776,"Atp5b/Atp5a1",2
"GO:0010634","positive regulation of epithelial cell migration","2/15","33/3949",0.00664406351168727,0.0482881044510129,0.0395896265640012,"Atp5b/Atp5a1",2
