"gene.id","protein.id","symbol","chr","start","end","r.raw","r.sex_adj","r.age_adj"
"ENSMUSG00000003865","ENSMUSP00000003964","Gys1",7,45434844,45456619,0.395575065985554,0.481977194430351,0.538212505243333
"ENSMUSG00000030515","ENSMUSP00000032728","Tarsl2",7,65644898,65692091,0.285313449865312,0.324351227107456,0.310050044747812
"ENSMUSG00000022241","ENSMUSP00000022849","Tars",15,11383663,11399658,0.402016057031049,0.463188798963318,0.468064471116602
"ENSMUSG00000026895","ENSMUSP00000065352","Ndufa8",2,36036326,36049406,0.109520604163034,0.0933192973879372,0.0971842271710618
"ENSMUSG00000027750","ENSMUSP00000080276","Postn",3,54361109,54391034,0.513348208344804,0.552490897109336,0.547199873299058
"ENSMUSG00000019326","ENSMUSP00000099394","Aoc3",11,101330605,101341938,0.397148830891235,0.455558044497494,0.469420142573429
"ENSMUSG00000024966","ENSMUSP00000025918","Stip1",19,7020696,7040026,0.245669350260513,0.210595342256276,0.195835257281763
"ENSMUSG00000042647","ENSMUSP00000046497","Acad12",5,121598284,121618938,0.786532626086141,0.817856221530624,0.831688360425557
"ENSMUSG00000025453","ENSMUSP00000096753","Nnt",13,119335448,119408997,0.759379198811652,0.80234055265792,0.80324002704321
"ENSMUSG00000026353","ENSMUSP00000027592","Ubxn4",1,128244181,128279377,0.281898143120811,0.299767444671239,0.298609063077472
"ENSMUSG00000032479","ENSMUSP00000035055","Map4",9,109931458,110083947,0.222184600401424,0.233691692429923,0.332292115575076
"ENSMUSG00000053768","ENSMUSP00000070149","Chchd3",6,32790976,33060260,0.177780040321362,0.14473857128884,0.122315040538685
"ENSMUSG00000071644","ENSMUSP00000093955","Eef1g",19,8967041,8978479,0.248036167050559,0.271805132439787,0.269743279623966
"ENSMUSG00000073600","ENSMUSP00000095224","Prob1",18,35652167,35655187,0.246632132126666,0.22173518302439,0.226114687843994
"ENSMUSG00000034243","ENSMUSP00000045239","Golgb1",16,36875140,36933085,0.00440597947359152,-0.068649751767572,-0.100129762268883
"ENSMUSG00000030754","ENSMUSP00000033012","Copb1",7,114215559,114254680,0.132707310255136,0.152066513127906,0.169986301417479
"ENSMUSG00000021871","ENSMUSP00000043926","Pnp",14,50944302,50965237,0.300083151548698,0.250490620286244,0.27666349743258
"ENSMUSG00000041957","ENSMUSP00000036890","Pkp2",16,16213318,16272712,0.120613959886773,0.183076240291655,0.212098829889
"ENSMUSG00000031393","ENSMUSP00000098314","Mecp2",20,74026592,74135363,0.212198751614106,0.164179986757232,0.177087944051015
"ENSMUSG00000040549","ENSMUSP00000106970","Ckap5",2,91526762,91620664,-0.014906427616233,0.0160420579277135,0.015320453617012
"ENSMUSG00000044562","ENSMUSP00000062429","Rasip1",7,45627488,45639093,0.122395505079761,0.083884120403981,0.0300079949030123
"ENSMUSG00000021313","ENSMUSP00000021750","Ryr2",13,11553103,12106945,0.204656940974049,0.257581317633676,0.207434047221912
"ENSMUSG00000030592","ENSMUSP00000137123","Ryr1",7,29003340,29125151,0.0738409758591667,0.0235232564122183,-0.125478434159779
"ENSMUSG00000057378","ENSMUSP00000089426","Ryr3",2,112631355,113217096,-0.0692544138461501,-0.0030909942493987,-0.0299720857872696
"ENSMUSG00000031299","ENSMUSP00000033662","Pdha1",20,160122209,160138413,0.294461267399214,0.228820525345162,0.157131748331773
"ENSMUSG00000052214","ENSMUSP00000069965","Opa3",7,19228334,19256543,0.0186390705312837,0.122558334683978,0.324281389383121
"ENSMUSG00000061315","ENSMUSP00000089680","Naca",10,128035346,128048637,0.145115892799119,0.147362500343524,0.0334223571076398
"ENSMUSG00000020777","ENSMUSP00000063325","Acox1",11,116171888,116199045,0.234646340738162,0.256973112302722,0.282572937591942
"ENSMUSG00000006574","ENSMUSP00000006749","Slc4a1",11,102348824,102366203,0.271328236309856,0.2699572710385,0.283860844511844
"ENSMUSG00000001424","ENSMUSP00000001460","Snd1",6,28475139,28935162,0.220249476278618,0.209305633449097,0.24235289399512
"ENSMUSG00000021823","ENSMUSP00000022369","Vcl",14,20929433,21033673,0.330548245052,0.350499330319175,0.342941817104018
"ENSMUSG00000035944","ENSMUSP00000114504","Ttc38",15,85832306,85858822,0.732632010312633,0.777470096994563,0.794673828549987
"ENSMUSG00000027406","ENSMUSP00000028892","Idh3b",2,130279309,130284547,0.239180528097042,0.161055620711889,0.124491812817257
"ENSMUSG00000025607","ENSMUSP00000038368","Copg2",6,30747554,30896794,0.25748500654052,0.326733258361795,0.306706747409704
"ENSMUSG00000030058","ENSMUSP00000109237","Copg1",6,87887814,87913595,-0.0150416706685652,-0.0110485047271436,-0.0298969842414792
"ENSMUSG00000029440","ENSMUSP00000098295","Psmd9",5,123228190,123250131,0.608719421524473,0.62775358206745,0.636019906815186
"ENSMUSG00000010914","ENSMUSP00000011058","Pdhx",2,103021075,103073513,0.482160441481575,0.325709917804562,0.535131508777602
"ENSMUSG00000002718","ENSMUSP00000002790","Cse1l",2,166906040,166946389,0.238018106965562,0.224497187449235,0.282686463469773
"ENSMUSG00000043991","ENSMUSP00000059404","Pura",18,36281097,36301521,0.12098776439431,0.116837801401421,0.066760055793489
"ENSMUSG00000094483","ENSMUSP00000136957","Purb",11,6467599,6476076,0.172916604582283,0.206657025753524,0.184446990327316
"ENSMUSG00000073418","ENSMUSP00000069418","C4b",17,34728380,34743882,0.345895083361707,0.251464384920351,0.362367366025427
"ENSMUSG00000020029","ENSMUSP00000020217","Nudt4",10,95547007,95564167,0.573768154685197,0.640902338434771,0.646723997593507
"ENSMUSG00000024213","ENSMUSP00000025050","Nudt3",17,27579382,27623465,0.100611835347287,0.117219166471938,0.156779654936396
"ENSMUSG00000034088","ENSMUSP00000127903","Hdlbp",1,93405940,93478808,0.238036309392342,0.209719267137829,0.176399148730051
"ENSMUSG00000021998","ENSMUSP00000121201","Lcp1",14,75131101,75230842,0.794344530841539,0.840542297855131,0.831544682508571
"ENSMUSG00000016382","ENSMUSP00000109693","Pls3",20,75785654,75875182,0.351729643684939,0.399106169756904,0.354590299943939
"ENSMUSG00000049493","ENSMUSP00000091317","Pls1",9,95752642,95845311,0.0994870609396753,0.103537336696622,0.0354664640416278
"ENSMUSG00000017286","ENSMUSP00000017430","Glod4",11,76120987,76243725,0.318474424073632,0.290941059667812,0.347110837124352
"ENSMUSG00000021196","ENSMUSP00000117030","Pfkp",13,6579768,6648777,0.854028626551361,0.890909079428895,0.89469392218475
"ENSMUSG00000033065","ENSMUSP00000132803","Pfkm",15,98092589,98132447,0.511533325141991,0.472632174882819,0.481134440502399
"ENSMUSG00000020277","ENSMUSP00000020522","Pfkl",10,77986947,78010083,0.244094818596828,0.255107489513973,0.272711228716045
"ENSMUSG00000029916","ENSMUSP00000031977","Agk",6,40325478,40396762,0.348754766446598,0.276894765521832,0.323154378946944
"ENSMUSG00000079243","ENSMUSP00000107262","Xirp1",9,120013755,120023598,0.280465043079128,0.292292523424575,0.253296355775801
"ENSMUSG00000025326","ENSMUSP00000103161","Ube3a",7,59228752,59306727,0.111509564072175,0.22169020688186,0.150737319216821
"ENSMUSG00000048264","ENSMUSP00000133806","Dip2c",13,9276528,9668928,0.334716104145468,0.353563220264461,0.358830034549949
"ENSMUSG00000026207","ENSMUSP00000084361","Speg",1,75375297,75432320,0.109757033772353,0.0849169939016138,0.0185621131229811
"ENSMUSG00000039197","ENSMUSP00000047665","Adk",14,21052574,21448568,0.418400327584711,0.480502548520383,0.481683015729004
"ENSMUSG00000041638","ENSMUSP00000069432","Gcn1l1",5,115565254,115622656,0.0402764626343575,0.0607123171619182,0.113978912977617
"ENSMUSG00000016664","ENSMUSP00000131504","Pacsin2",15,83375607,83464606,0.365892060368629,0.379276617535034,0.38260586310229
"ENSMUSG00000034484","ENSMUSP00000039243","Snx2",18,53176365,53220860,0.304579401684433,0.324183147901661,0.301904922198074
"ENSMUSG00000048126","ENSMUSP00000137585","Col6a3",1,90765923,90843971,0.181347318922741,0.133957580445792,0.18079139950918
"ENSMUSG00000031799","ENSMUSP00000003575","Tpm4",8,72134975,72153142,0.233373336008051,0.249270576638394,0.205589703134288
"ENSMUSG00000028464","ENSMUSP00000103547","Tpm2",4,43514711,43523765,0.0706162744827293,0.0899253676053727,0.110028732060625
"ENSMUSG00000027940","ENSMUSP00000113578","Tpm3",3,90072649,90100902,0.0905186147676346,0.16444317401707,0.137055397926409
"ENSMUSG00000027940","ENSMUSP00000029549","Tpm3",3,90072649,90100902,0.19434707463193,0.244349577671853,0.231853220904848
"ENSMUSG00000032366","ENSMUSP00000109326","Tpm1",9,67022590,67049406,-0.0291912384747662,-0.0594151884838659,-0.0640717114232846
"ENSMUSG00000032366","ENSMUSP00000034928","Tpm1",9,67022590,67049406,0.0171878935754442,0.00393948227338016,-0.0133430196413192
"ENSMUSG00000032366","ENSMUSP00000109331","Tpm1",9,67022590,67049406,0.0186491167691564,0.0152609123501836,0.00319467409547652
"ENSMUSG00000032366","ENSMUSP00000109315","Tpm1",9,67022590,67049406,0.0522087602180894,0.0228574978216474,0.0179375055891628
"ENSMUSG00000008892","ENSMUSP00000009036","Vdac3",8,22577075,22593813,0.142340579373898,0.190778956987379,0.218272987027283
"ENSMUSG00000020402","ENSMUSP00000099819","Vdac1",11,52360860,52389397,0.124828435049335,0.0652322898983562,0.0538420669178781
"ENSMUSG00000021185","ENSMUSP00000129876","9030617O03Rik",12,100779057,100896981,0.751086107089279,0.757536793249829,0.761168331032365
"ENSMUSG00000020439","ENSMUSP00000133155","Smtn",11,3517523,3540612,0.138935317468907,0.136160617947012,0.162783212947858
"ENSMUSG00000079362","ENSMUSP00000062528","Gbp6",5,105270704,105293699,0.663697910243172,0.730553662775068,0.722319961991988
"ENSMUSG00000037022","ENSMUSP00000048826","Mmaa",8,79266424,79294956,0.212830158865742,0.22836624949637,0.222872890764741
"ENSMUSG00000060279","ENSMUSP00000127842","Ap2a1",7,44900373,44929496,0.0798561213708136,0.126430577004448,0.0804649429340576
"ENSMUSG00000002957","ENSMUSP00000003038","Ap2a2",7,141562180,141633011,0.0520570716289225,-0.0016021895157147,-0.0165922769112708
"ENSMUSG00000030826","ENSMUSP00000033098","Bcat2",7,45570153,45589710,0.737305585917884,0.771709785377437,0.771514929924084
"ENSMUSG00000028737","ENSMUSP00000043821","Aldh4a1",4,139622866,139649690,0.756582713700174,0.827790030162096,0.837611599694227
"ENSMUSG00000019254","ENSMUSP00000013886","Ppp1r12c",7,4481520,4501680,0.142000947512678,0.235182530463477,0.226469000206097
"ENSMUSG00000028639","ENSMUSP00000078589","Ybx1",4,119277981,119294604,0.225176922434102,0.271326437135467,0.0101382866061829
"ENSMUSG00000042870","ENSMUSP00000077891","Tom1",8,75033686,75070121,-0.267525729593744,-0.294298668180902,-0.306444052363671
"ENSMUSG00000006005","ENSMUSP00000117616","Tpr",1,150392838,150449935,0.08025956075534,0.124697630319254,0.0787929178555293
"ENSMUSG00000019943","ENSMUSP00000020107","Atp2b1",10,98915152,99026143,-0.0155496162244896,0.0231331693589807,-0.0211566011394824
"ENSMUSG00000026463","ENSMUSP00000119242","Atp2b4",1,133702674,133801041,0.100863805742434,0.0625997209530006,0.0477224584283076
"ENSMUSG00000025477","ENSMUSP00000101704","Inpp5a",7,139389109,139579652,0.187700405364247,0.17467957876498,0.192431852781098
"ENSMUSG00000029199","ENSMUSP00000031101","Lias",5,65391497,65410693,0.446176960169411,0.469954502567042,0.467849957687491
"ENSMUSG00000032294","ENSMUSP00000034834","Pkm",9,59656368,59679375,0.404928755263995,0.405237497087136,0.464887223504278
"ENSMUSG00000032294","ENSMUSP00000128770","Pkm",9,59656368,59679375,0.288202695237188,0.293533557616269,0.299299782143007
"ENSMUSG00000052727","ENSMUSP00000068374","Map1b",13,99421464,99516602,0.0774566388000685,0.0637325273688514,0.0482681530804087
"ENSMUSG00000000738","ENSMUSP00000120361","Spg7",8,123062942,123097760,0.219014613115413,0.205505567971344,0.211669554747877
"ENSMUSG00000042699","ENSMUSP00000038135","Dhx9",1,153455758,153487660,0.127323137738969,0.128366908319627,0.144859040619715
"ENSMUSG00000027257","ENSMUSP00000054391","Pacsin3",2,91255954,91264679,0.211754560938519,0.211289383901612,0.23641944092572
"ENSMUSG00000027002","ENSMUSP00000028386","Nckap1",2,80500512,80581380,-0.0970438708185108,-0.071251897584868,-0.109243701351247
"ENSMUSG00000032085","ENSMUSP00000034590","Tagln",9,45929628,45936058,0.171975443952528,0.177646863907305,0.21289176326542
"ENSMUSG00000026547","ENSMUSP00000106861","Tagln2",1,172500047,172507380,0.273006905091137,0.322702166449761,0.248292479917008
"ENSMUSG00000030852","ENSMUSP00000081561","Tacc2",7,130577484,130764784,0.489955684623185,0.523813841501349,0.524450916267392
"ENSMUSG00000028478","ENSMUSP00000103478","Clta",4,44004452,44032846,0.0992727434026419,0.102989512808994,0.0318660669027385
"ENSMUSG00000021048","ENSMUSP00000021443","Mthfd1",12,76255232,76319820,0.435682431528889,0.388118018453068,0.402028744599463
"ENSMUSG00000032504","ENSMUSP00000035086","Pdcd6ip",9,113651744,113708259,0.388605568118386,0.382220748711475,0.389084417772952
"ENSMUSG00000021061","ENSMUSP00000021458","Sptb",12,76580488,76710547,0.117167661915194,0.101687689391628,0.0184292662697745
"ENSMUSG00000020315","ENSMUSP00000006629","Sptbn1",11,30099395,30268175,-0.016937429318719,0.0118295717828644,-0.0471494741713167
"ENSMUSG00000054808","ENSMUSP00000066068","Actn4",7,28893248,28962340,0.144113528723094,0.216034559745364,0.107636152171284
"ENSMUSG00000052374","ENSMUSP00000067708","Actn2",13,12269426,12340760,0.129760662661175,0.0717365872678542,0.124188055580843
"ENSMUSG00000015143","ENSMUSP00000021554","Actn1",12,80167542,80260371,0.0649644904160326,0.0805399822692935,0.0518826756157205
"ENSMUSG00000006457","ENSMUSP00000006626","Actn3",19,4861223,4877909,0.0703031092376548,0.0541054566761829,0.033115300047314
"ENSMUSG00000011751","ENSMUSP00000011895","Sptbn4",7,27356383,27447686,0.0747016407034141,0.0514808365705237,0.0332141300901625
"ENSMUSG00000003526","ENSMUSP00000003620","Prodh",16,18060357,18090203,0.331014345573193,0.358071113480325,0.371810054412688
"ENSMUSG00000033161","ENSMUSP00000039657","Atp1a1",3,101576219,101604603,0.211803927601264,0.199704828851633,0.177844642657665
"ENSMUSG00000040907","ENSMUSP00000099922","Atp1a3",7,24978167,25005957,-0.179171435724115,-0.176570525425658,-0.123678765023948
"ENSMUSG00000007097","ENSMUSP00000083077","Atp1a2",1,172271709,172298064,0.568414542416446,0.601346168868067,0.600946862695074
"ENSMUSG00000000631","ENSMUSP00000090563","Myo18a",11,77763246,77865980,-0.0293362678499072,-0.0131896633489184,-0.0369952037757478
"ENSMUSG00000050812","ENSMUSP00000099953","AI314180",4,58798911,58912749,0.110916394226339,0.173060819161551,0.118950114236656
"ENSMUSG00000006412","ENSMUSP00000120106","Pfdn2",1,171345670,171359254,0.0948895052877803,0.118707297797651,0.167977057509543
"ENSMUSG00000031584","ENSMUSP00000033992","Gsr",8,33652523,33698163,0.29375264095627,0.314699813268471,0.390057879834271
"ENSMUSG00000038845","ENSMUSP00000119603","Phb",11,95666957,95680773,0.00108756445901671,0.0130121469119195,0.0491049794796362
"ENSMUSG00000017713","ENSMUSP00000033230","Tha1",11,117867952,117873481,0.295432285720677,0.317209802164854,0.284391763048645
"ENSMUSG00000021550","ENSMUSP00000022032","2210016F16Rik",13,58380046,58385225,0.0522631531789306,0.040001452349143,0.0825677692700125
"ENSMUSG00000068036","ENSMUSP00000118318","Mllt4",17,13760539,13906150,0.307352848456994,0.310193465895719,0.296167745345559
"ENSMUSG00000021416","ENSMUSP00000021853","Eci3",13,34946614,34963810,0.0347271235610563,0.0672176127408213,0.0588933172786231
"ENSMUSG00000021417","ENSMUSP00000131735","Eci2",13,34977748,35027094,0.500193717047988,0.542583579048075,0.565566298466415
"ENSMUSG00000006740","ENSMUSP00000025083","Kif5b",18,6201002,6242174,0.344867525088354,0.381203605167395,0.433113127609674
"ENSMUSG00000030357","ENSMUSP00000032508","Fkbp4",6,128429735,128438677,0.549689423794938,0.55233589166913,0.508408298089758
"ENSMUSG00000030739","ENSMUSP00000103531","Myh14",7,44605803,44670843,-0.0656558320507399,-0.0872647947575435,-0.0533193666542817
"ENSMUSG00000022443","ENSMUSP00000016771","Myh9",15,77760587,77842175,0.158390795094442,0.14601122408582,0.133658916332583
"ENSMUSG00000020900","ENSMUSP00000099671","Myh10",11,68691559,68816632,0.150050363441355,0.170414842155664,0.131383720416483
"ENSMUSG00000040752","ENSMUSP00000080538","Myh6",14,54941921,54966927,-0.0453885663283615,-0.0962675041372309,-0.143086417500734
"ENSMUSG00000053093","ENSMUSP00000099867","Myh7",14,54970688,54994634,0.57264740049872,0.58813304546222,0.606574672610794
"ENSMUSG00000018830","ENSMUSP00000087756","Myh11",16,14194527,14291408,0.122190461346414,0.108969652977377,0.0516608014264295
"ENSMUSG00000074652","ENSMUSP00000090672","Myh7b",2,155611212,155634307,0.00706018820339241,0.00711186361797833,-0.0835856043914554
"ENSMUSG00000018417","ENSMUSP00000040447","Myo1b",1,51749765,51916071,0.237191127727108,0.251509693649972,0.247345504021424
"ENSMUSG00000017774","ENSMUSP00000099563","Myo1c",11,75650504,75673910,0.0608242526349981,0.0775692055647406,0.0628084469855411
"ENSMUSG00000040752","ENSMUSP00000115615","Myh6",14,54941921,54966927,-0.0913346272428039,-0.118182865146575,-0.122074637285814
"ENSMUSG00000032458","ENSMUSP00000035033","Copb2",9,98563731,98588375,0.196392562137421,0.165341491414558,0.15417237578461
"ENSMUSG00000041881","ENSMUSP00000039692","Ndufa7",17,33824591,33838316,0.13261461557527,0.165606877549492,0.131561141981369
"ENSMUSG00000040112","ENSMUSP00000048348","Mrps35",6,147042764,147070903,0.0838338605077017,0.0748306301918002,0.0749213050167293
"ENSMUSG00000039316","ENSMUSP00000046524","Rftn1",17,49992257,50190674,0.383832878358752,0.42015530012085,0.441398124540991
"ENSMUSG00000041733","ENSMUSP00000048001","Coq5",5,115279666,115296972,0.256743962682734,0.162456937620907,0.232652440077396
"ENSMUSG00000047419","ENSMUSP00000050408","Cmya5",13,93040713,93144724,0.0553824983073547,-0.0267899972979203,-0.0118014474041485
"ENSMUSG00000040354","ENSMUSP00000037446","Mars",10,127296221,127311786,0.288524041216391,0.320021938543123,0.302050192529003
"ENSMUSG00000000538","ENSMUSP00000099744","Tom1l2",11,60226714,60352905,0.259703311315691,0.28213642077087,0.277751063960189
"ENSMUSG00000031974","ENSMUSP00000075011","Abcb10",8,123952459,123983122,0.692083157714075,0.706465071003751,0.68706471756841
"ENSMUSG00000059208","ENSMUSP00000120115","Hnrnpm",17,33646233,33686860,0.320649390459748,0.128728042149771,0.268913523399787
"ENSMUSG00000039103","ENSMUSP00000037120","Nexn",3,152236986,152266320,0.147680666186436,0.117781598363124,0.156587610410579
"ENSMUSG00000024659","ENSMUSP00000025561","Anxa1",19,20373428,20390944,0.672522909110858,0.702404969691026,0.713568438068535
"ENSMUSG00000020849","ENSMUSP00000070993","Ywhae",11,75732869,75765845,0.0263388062587995,-0.0026121703680543,-0.00110399850045972
"ENSMUSG00000051391","ENSMUSP00000051223","Ywhag",5,135908409,135934616,0.0718199559657851,0.124052164338532,0.141154519584961
"ENSMUSG00000018965","ENSMUSP00000019109","Ywhah",5,33018816,33027966,0.45166747908323,0.481231201667258,0.489953952796667
"ENSMUSG00000076432","ENSMUSP00000123605","Ywhaq",12,21390071,21417637,0.0621762652871697,0.0222624071938635,0.0103801465346187
"ENSMUSG00000018326","ENSMUSP00000018470","Ywhab",2,163994960,164018588,0.0506751811751604,0.039843476891028,0.0494668860355876
"ENSMUSG00000022285","ENSMUSP00000022894","Ywhaz",15,36770770,36794547,0.179738264105203,0.125880805299819,0.214142951645502
"ENSMUSG00000091898","ENSMUSP00000131991","Tnnc1",14,31208312,31211729,0.0856381093303653,0.0818479429482418,-0.0265792283160386
"ENSMUSG00000038708","ENSMUSP00000081880","Golga4",9,118506318,118582522,0.44202288706614,0.41591694155056,0.44880484158384
"ENSMUSG00000041891","ENSMUSP00000040140","Lman1",18,65980754,66022580,-0.0384446458971657,0.0405639982337482,0.0483887398270314
"ENSMUSG00000078937","ENSMUSP00000104936","Cpt1b",15,89416405,89425863,0.397664382753649,0.390762629049961,0.355598917722123
"ENSMUSG00000024900","ENSMUSP00000025835","Cpt1a",19,3323301,3385732,0.571509280320175,0.577235084021517,0.574713698098884
"ENSMUSG00000021577","ENSMUSP00000022062","Sdha",13,74322254,74350280,0.330014441194181,0.31732730203683,0.291697842399241
"ENSMUSG00000040213","ENSMUSP00000101825","Ccbl2",3,142701051,142744910,0.600074758505896,0.619398151055765,0.698544749786168
"ENSMUSG00000039648","ENSMUSP00000038612","Ccbl1",2,30185124,30205847,0.183031894496307,0.196184465187305,0.199418821785136
"ENSMUSG00000003123","ENSMUSP00000003207","Lipe",7,25379527,25398710,0.297383528591971,0.344880747933539,0.374792128941816
"ENSMUSG00000029455","ENSMUSP00000031411","Aldh2",5,121566027,121593824,0.487910572206253,0.531476322318013,0.48738821334436
"ENSMUSG00000035561","ENSMUSP00000041260","Aldh1b1",4,45799022,45804604,0.661295613052559,0.725192340814487,0.72366165407261
"ENSMUSG00000053279","ENSMUSP00000084918","Aldh1a1",19,20601961,20643462,0.293544574411636,0.240620676453099,0.325005169471056
"ENSMUSG00000025261","ENSMUSP00000026292","Huwe1",20,151800807,151935417,0.00896067885613869,0.0460868832337108,0.0391178083739305
"ENSMUSG00000017760","ENSMUSP00000099382","Ctsa",2,164832873,164841032,0.14866589056762,0.0937214196432403,0.0479499991389683
"ENSMUSG00000022574","ENSMUSP00000023237","Naprt1",15,75890964,75894481,0.539121227305665,0.555091871552081,0.588052758713028
"ENSMUSG00000028124","ENSMUSP00000029769","Gclm",3,122245557,122269984,0.0274557420427419,0.0618707029149861,0.00845498226363655
"ENSMUSG00000025150","ENSMUSP00000026148","Cbr2",11,120729489,120732114,0.602862094192865,0.654708761642726,0.652332069452181
"ENSMUSG00000024392","ENSMUSP00000129324","Bag6",17,35135178,35147322,0.16983525071078,0.162135364841853,0.148362392403957
"ENSMUSG00000022323","ENSMUSP00000022946","Hrsp12",15,34484021,34495255,0.322728689381894,0.3423353058639,0.336035449283199
"ENSMUSG00000021843","ENSMUSP00000022391","Ktn1",14,47663756,47736563,0.548899623618565,0.545922254601815,0.548953267883932
"ENSMUSG00000033831","ENSMUSP00000039472","Fgb",3,83042247,83049803,-0.0134660246212333,0.00727525311795598,-0.0123396697914076
"ENSMUSG00000038028","ENSMUSP00000048643","9630033F20Rik",6,127085116,127109550,0.546618304997367,0.545612774084097,0.572860738313037
"ENSMUSG00000028063","ENSMUSP00000029699","Lmna",3,88481148,88509956,0.217788932051074,0.207173776176786,0.239816415535049
"ENSMUSG00000062075","ENSMUSP00000057291","Lmnb2",10,80901203,80918245,0.0362178609633486,0.0296016325815495,0.0475603065857894
"ENSMUSG00000024590","ENSMUSP00000025486","Lmnb1",18,56707813,56753424,0.119988308076034,0.115016180874437,0.119151264200018
"ENSMUSG00000037149","ENSMUSP00000065987","Ddx1",12,13219308,13249213,0.0170619326279897,0.120864584017251,0.0975568922214393
"ENSMUSG00000041731","ENSMUSP00000036025","Pgm5",19,24683016,24861855,0.607646737678802,0.645366513923116,0.643110763510509
"ENSMUSG00000025791","ENSMUSP00000061227","Pgm2",4,99929414,99987294,0.516426502089957,0.524541137011398,0.566382870663565
"ENSMUSG00000022407","ENSMUSP00000023043","Adsl",15,80948490,80970947,0.495803222105946,0.514491230349721,0.585418192841351
"ENSMUSG00000025982","ENSMUSP00000027127","Sf3b1",1,54985169,55027478,0.11637520918174,0.103571540926208,0.129062928509789
"ENSMUSG00000028339","ENSMUSP00000080921","Col15a1",4,47208161,47313167,0.281803367038983,0.258442348577505,0.268572183080746
"ENSMUSG00000031221","ENSMUSP00000033570","Igbp1",20,100494291,100516125,0.14572794643641,0.139100889334397,0.137328149271748
"ENSMUSG00000027422","ENSMUSP00000016072","Rrbp1",2,143947395,144011263,0.288886717094875,0.274286173066497,0.2992704237334
