"lodcolumn","gene_symbol","gene_chr","gene_start","gene_middle","gene_end","qtl_chr","qtl_pos","qtl_mkr","qtl_lod","cis"
"ENSMUSG00000044221","Grsf1","5",88.659448,88.66781,88.676171,"X",86.341093,"JAX00181524",10.0255382512169,FALSE
"ENSMUSG00000044813","Shb","4",45.423278,45.477874,45.53247,"13",44.11385,"backupUNC130052716",10.0092414112205,FALSE
"ENSMUSG00000037822","Smim14","5",65.446844,65.492014,65.537184,"5",8.346314,"UNC8605220",10.0079969002512,FALSE
"ENSMUSG00000021279","Cdc42bpb","12",111.292972,111.335345,111.377718,"9",123.851843,"UNC17310581",10.0003232292928,FALSE
"ENSMUSG00000096775","Gm5796","14",4.023941,4.032656,4.04137,"15",90.920804,"UNC26095357",9.98549748931408,FALSE
"ENSMUSG00000020150","Gamt","10",80.258151,80.259582,80.261012,"15",95.125375,"UNC26156368",9.98448308267901,FALSE
"ENSMUSG00000030134","Rasgef1a","6",118.066385,118.078966,118.091546,"18",36.147947,"UNC29046479",9.97129525874283,FALSE
"ENSMUSG00000096319","Gm8226","9",84.423958,84.424392,84.424826,"19",37.499231,"UNC30274954",9.93689393968603,FALSE
"ENSMUSG00000099098","RP23-96N11.4","7",29.15568,29.1563,29.15692,"18",69.724219,"UNC29527818",9.92377909136504,FALSE
"ENSMUSG00000058927","Gm10053","19",24.875686,24.87616,24.876634,"X",86.331863,"JAX00715025",9.89891441729821,FALSE
"ENSMUSG00000097423","Gm26522","7",88.278787,88.281158,88.283529,"12",94.028093,"UNC21646191",9.88207030447425,FALSE
"ENSMUSG00000089694","Gm4477","6",85.706727,85.709966,85.713205,"14",81.141033,"UNC24335451",9.86568762860709,FALSE
"ENSMUSG00000029001","Fbxo44","4",148.1528,148.156641,148.160482,"1",180.246178,"UNC2306806",9.8605162424392,FALSE
"ENSMUSG00000097811","2810425M01Rik","10",77.486664,77.501547,77.51643,"19",57.152464,"UNC30560571",9.84460611019952,FALSE
"ENSMUSG00000013707","Tnfaip8l2","3",95.139521,95.14094,95.14236,"17",88.607693,"UNC28558784",9.8280694292065,FALSE
"ENSMUSG00000079036","Alkbh1","12",87.42584,87.43484,87.443839,"X",139.906385,"UNC31385348",9.81578515469292,FALSE
"ENSMUSG00000052942","Glis3","19",28.258851,28.469464,28.680077,"15",89.942604,"UNC26080088",9.78968560145772,FALSE
"ENSMUSG00000039639","Kcne1","16",92.346001,92.352734,92.359468,"7",109.836016,"UNC13597756",9.77706787918383,FALSE
"ENSMUSG00000002985","Apoe","7",19.696109,19.697638,19.699166,"10",115.921455,"UNC18785091",9.76315432514488,FALSE
"ENSMUSG00000021779","Thrb","14",17.66096,17.849524,18.038088,"18",13.013879,"JAX00080498",9.75149882065569,FALSE
"ENSMUSG00000021548","Ccnh","13",85.189408,85.206438,85.223469,"14",122.388846,"UNC24926099",9.74846333461574,FALSE
"ENSMUSG00000034729","Mrps10","17",47.368887,47.375152,47.381417,"X",139.052568,"UNC31378371",9.74479678671962,FALSE
"ENSMUSG00000048779","P2ry6","7",100.937638,100.951014,100.964391,"17",88.661259,"UNC28559821",9.70837705867068,FALSE
"ENSMUSG00000074776","Gm10754","10",97.682102,97.682259,97.682416,"6",16.330165,"UNC10624167",9.70724474556325,FALSE
"ENSMUSG00000060373","Hnrnpc","14",52.07338,52.088704,52.104028,"13",39.684916,"UNC22466367",9.70408123906233,FALSE
"ENSMUSG00000026969","Fam166a","2",25.218745,25.220512,25.22228,"5",97.429802,"JAX00589275",9.66311433297287,FALSE
"ENSMUSG00000044551","9930012K11Rik","14",70.154405,70.156954,70.159502,"4",33.280683,"UNC7028468",9.64486598728738,FALSE
"ENSMUSG00000012889","Podnl1","8",84.125989,84.129258,84.132527,"2",17.705871,"UNC2654671",9.60151347722703,FALSE
"ENSMUSG00000018446","C1qbp","11",70.977836,70.980431,70.983026,"6",43.778796,"UNC10972781",9.59896349631871,FALSE
"ENSMUSG00000031492","Chrnb3","8",27.368711,27.38422,27.399729,"19",4.166114,"UNC29831148",9.59514523086528,FALSE
"ENSMUSG00000090862","Rps13","7",116.331507,116.332848,116.33419,"1",182.044576,"UNC2327373",9.58949917545034,FALSE
"ENSMUSG00000024900","Cpt1a","19",3.323301,3.354516,3.385732,"13",46.833937,"UNC22548078",9.57444412305281,FALSE
"ENSMUSG00000060647","Gm7099","12",9.429546,9.429822,9.430099,"18",56.66796,"UNC29323498",9.56477318620666,FALSE
"ENSMUSG00000030872","Gga2","7",121.986722,122.003972,122.021222,"10",11.575165,"UNC100015018",9.54957118841065,FALSE
"ENSMUSG00000073975","Olfr550","7",102.578469,102.578988,102.579506,"2",151.623578,"UNC4232834",9.54412661570243,FALSE
"ENSMUSG00000063428","Ddo","10",40.630011,40.639971,40.649931,"6",17.712976,"UNC10643321",9.53941568619629,FALSE
"ENSMUSG00000086096","Gm12688","4",99.653607,99.654295,99.654983,"14",119.107972,"UNC24874778",9.52968277217665,FALSE
"ENSMUSG00000026558","Uck2","1",167.22609,167.255608,167.285127,"1",135.689183,"UNC1737217",9.52838296164864,FALSE
"ENSMUSG00000024622","Hmgxb3","18",61.131279,61.154164,61.17705,"11",9.483344,"UNC19056716",9.5267119946278,FALSE
"ENSMUSG00000073700","Klhl21","4",152.008803,152.013242,152.01768,"17",48.345959,"JAX00440437",9.47840209418596,FALSE
"ENSMUSG00000071072","Ptges3","10",128.058954,128.068113,128.077272,"X",139.986889,"UNC31385860",9.46301113119518,FALSE
"ENSMUSG00000037624","Kcnk2","1",189.207931,189.275882,189.343832,"1",188.384594,"UNC2398471",9.43517359751362,TRUE
"ENSMUSG00000018126","Baiap2l2","15",79.258195,79.271866,79.285537,"10",59.662857,"JAX00018493",9.43390032198269,FALSE
"ENSMUSG00000051639","Gm5812","17",6.121208,6.121686,6.122164,"12",117.954288,"UNC22001729",9.40496704037902,FALSE
"ENSMUSG00000021520","Uqcrb","13",66.900617,66.902998,66.905378,"X",86.331863,"JAX00715025",9.39754363417338,FALSE
"ENSMUSG00000075590","Nrbp2","15",76.085595,76.087804,76.090013,"13",64.839931,"UNC22762255",9.39492886529846,FALSE
"ENSMUSG00000094410","Zbed6","1",133.61994,133.640629,133.661318,"19",25.19098,"UNC30109066",9.39266580936533,FALSE
"ENSMUSG00000037306","Man1c1","4",134.56169,134.63299,134.70429,"1",129.58097,"UNC011819339",9.39070380711254,FALSE
"ENSMUSG00000020257","Wdr82","9",106.170929,106.181318,106.191706,"1",136.623846,"UNC1751940",9.37252865205121,FALSE
"ENSMUSG00000082382","Gm14970","X",127.446562,127.446739,127.446916,"1",69.243576,"UNC874332",9.35294228109392,FALSE
"ENSMUSG00000019891","Dcbld1","10",52.233619,52.277498,52.321378,"15",100.326917,"UNC26217284",9.35197412208105,FALSE
"ENSMUSG00000063445","Nmral1","16",4.710059,4.714708,4.719356,"8",115.470062,"UNC15557711",9.34629597234228,FALSE
"ENSMUSG00000066272","Olfr559","7",102.723489,102.724,102.72451,"3",50.026585,"UNC5230417",9.34174711846153,FALSE
"ENSMUSG00000032656","March3","18",56.761716,56.843632,56.925548,"11",51.40441,"UNC19614765",9.3309810037523,FALSE
"ENSMUSG00000097203","4732419C18Rik","8",123.744631,123.74943,123.754228,"17",68.158562,"UNC28242741",9.32657831027608,FALSE
"ENSMUSG00000057092","Fxyd3","7",31.068172,31.072438,31.076704,"5",139.515865,"UNC10293707",9.31775146119453,FALSE
"ENSMUSG00000028708","Mknk1","4",115.839198,115.859224,115.87925,"2",13.753816,"UNC2607370",9.31201644285594,FALSE
"ENSMUSG00000050556","Kcnb1","2",167.103378,167.146766,167.190155,"10",61.105061,"JAX00018601",9.31085261172306,FALSE
"ENSMUSG00000034783","Cd207","6",83.671207,83.674532,83.677857,"6",84.630357,"UNC11517152",9.30662658964162,TRUE
"ENSMUSG00000047215","Rpl9","5",65.388364,65.389904,65.391443,"17",89.324269,"UNC28570787",9.3026393566415,FALSE
"ENSMUSG00000046032","Snx12","X",101.097786,101.160174,101.222563,"11",12.769954,"UNC19103178",9.29774468956234,FALSE
"ENSMUSG00000096941","Gm26720","1",91.989051,91.99084,91.992628,"1",184.789644,"UNC2353860",9.29729154118714,FALSE
"ENSMUSG00000081957","Ak3l2-ps","2",72.633868,72.634318,72.634767,"11",105.503636,"UNC20307337",9.29579359155064,FALSE
"ENSMUSG00000022543","4930451G09Rik","16",4.968936,4.973949,4.978962,"2",169.2871,"UNC4471611",9.29036795476515,FALSE
"ENSMUSG00000035890","Rnf126","10",79.758515,79.762734,79.766952,"11",103.821277,"UNC20285096",9.28631929734751,FALSE
"ENSMUSG00000048602","Morc2b","17",33.135588,33.137636,33.139683,"2",106.753256,"JAX00499028",9.28181881542027,FALSE
"ENSMUSG00000085631","9630028H03Rik","2",135.325447,135.454516,135.583584,"14",100.461706,"UNC24611517",9.25934204656793,FALSE
"ENSMUSG00000027996","Sfrp2","3",83.766321,83.770318,83.774316,"14",58.635371,"UNC24065561",9.25897979352252,FALSE
"ENSMUSG00000042790","Rnf214","9",45.863425,45.88516,45.906894,"18",20.00903,"UNC28840760",9.25440701264674,FALSE
"ENSMUSG00000086964","Gm15948","5",66.988816,66.990012,66.991207,"5",65.631466,"UNC9355598",9.24385108358453,TRUE
"ENSMUSG00000057219","Armc7","11",115.475667,115.483067,115.490467,"11",50.784569,"UNC19604855",9.23682832708978,FALSE
"ENSMUSG00000090024","Gm16350","8",14.961066,14.961326,14.961586,"7",119.885913,"UNC13730803",9.2239039195396,FALSE
"ENSMUSG00000025486","Sirt3","7",140.86367,140.87299,140.882309,"15",95.168431,"UNC26157042",9.21829925637847,FALSE
"ENSMUSG00000024312","Wdr46","17",33.94066,33.945178,33.949695,"2",127.017567,"UNC3924665",9.21044651469634,FALSE
"ENSMUSG00000023009","Nckap5l","15",99.422035,99.439892,99.457748,"11",16.897266,"UNC19166351",9.20627475884343,FALSE
"ENSMUSG00000015721","Nlrp5","7",23.385889,23.413906,23.441922,"1",51.657472,"UNC658850",9.20205496493511,FALSE
"ENSMUSG00000097188","Snhg1","19",8.723496,8.724969,8.726442,"1",94.081116,"JAX00259682",9.20186173166793,FALSE
"ENSMUSG00000027613","Eif6","2",155.819832,155.823378,155.826925,"10",112.859135,"UNC18739738",9.19974786269465,FALSE
"ENSMUSG00000040699","Limd2","11",106.156256,106.158558,106.16086,"3",132.609586,"UNC6273606",9.19263966079224,FALSE
"ENSMUSG00000022383","Ppara","15",85.734983,85.768901,85.802819,"X",101.985682,"UNC31153686",9.1914148462067,FALSE
"ENSMUSG00000028971","Cort","4",149.125034,149.125898,149.126763,"5",136.839581,"UNC10259802",9.19086885253386,FALSE
"ENSMUSG00000034773","BC030867","11",102.248882,102.257034,102.265187,"1",188.204604,"UNC2396636",9.1901072451002,FALSE
"ENSMUSG00000017493","Igfbp4","11",99.041244,99.047818,99.054392,"10",68.169957,"UNC18154330",9.18791423953902,FALSE
"ENSMUSG00000031010","Usp9x","X",13.071498,13.122413,13.173328,"10",111.732041,"UNC18724125",9.18532074162749,FALSE
"ENSMUSG00000033427","Upb1","10",75.406911,75.424295,75.441679,"13",110.254225,"UNC23354822",9.1823404515911,FALSE
"ENSMUSG00000039824","Myl6b","10",128.494157,128.496421,128.498685,"14",94.742635,"UNC24525626",9.17648020491486,FALSE
"ENSMUSG00000045180","Shroom2","X",152.609509,152.689487,152.769465,"9",120.889069,"UNC17271249",9.17612685538847,FALSE
"ENSMUSG00000082946","Gm12177","11",47.425264,47.426262,47.427259,"2",179.214834,"UNC4579152",9.17011239905429,FALSE
"ENSMUSG00000081674","Gm6184","X",101.518985,101.519615,101.520245,"6",133.867446,"UNC12129417",9.156929414229,FALSE
"ENSMUSG00000038765","Lmx1b","2",33.560965,33.600738,33.640511,"3",29.476492,"UNC4944698",9.15354838823492,FALSE
"ENSMUSG00000028521","Slc35d1","4",103.170649,103.192906,103.215164,"3",28.73618,"UNC4934372",9.13769663595268,FALSE
"ENSMUSG00000022199","Slc22a17","14",54.906727,54.90993,54.913132,"10",70.74205,"UNC18192502",9.13551633983887,FALSE
"ENSMUSG00000036882","Arhgap33","7",30.522226,30.528203,30.53418,"13",104.496064,"JAX00369010",9.1332599780076,FALSE
"ENSMUSG00000054364","Rhob","12",8.497763,8.498874,8.499985,"11",14.38035,"UNC19127275",9.12960961688189,FALSE
"ENSMUSG00000024056","Ndc80","17",71.4961,71.511478,71.526857,"15",96.231856,"JAX00410812",9.12794937273187,FALSE
"ENSMUSG00000021764","Ndufs4","13",114.287795,114.337944,114.388094,"X",93.336418,"JAX00182041",9.12748067354647,FALSE
"ENSMUSG00000098105","Gm8825","19",25.79581,25.796308,25.796807,"6",64.650738,"JAX00141889",9.12235684808384,FALSE
"ENSMUSG00000096954","Gdap10","12",32.821872,32.824388,32.826904,"14",63.355095,"UNC24111328",9.12098588498485,FALSE
"ENSMUSG00000026662","Sephs1","2",4.881564,4.89606,4.910557,"X",47.318158,"UNC30794480",9.12038697414085,FALSE
"ENSMUSG00000071506","Tmem139","6",42.26197,42.263262,42.264555,"12",79.848926,"UNC21470345",9.11925083299824,FALSE
"ENSMUSG00000029752","Asns","6",7.675169,7.684212,7.693254,"1",39.141201,"UNC489481",9.11321654855604,FALSE
"ENSMUSG00000033039","Micall1","15",79.108972,79.122934,79.136897,"9",115.144888,"UNC17184115",9.10855314691395,FALSE
"ENSMUSG00000045107","Saysd1","14",20.075646,20.079409,20.083172,"3",58.644282,"UNC5350514",9.09923118051564,FALSE
"ENSMUSG00000086767","Gm13070","4",149.904006,149.906078,149.908149,"19",34.70926,"UNC30235341",9.09279628038668,FALSE
"ENSMUSG00000004100","Ppan","9",20.888175,20.890176,20.892178,"14",62.966091,"UNC24106278",9.08973284575714,FALSE
"ENSMUSG00000043384","Gprasp1","X",135.742733,135.773104,135.803474,"19",57.09071,"UNC30559311",9.08660679948109,FALSE
"ENSMUSG00000042306","S100a14","3",90.526849,90.527843,90.528837,"X",130.875621,"UNC31319750",9.08327275079037,FALSE
"ENSMUSG00000078716","Tmem8b","4",43.668971,43.68082,43.692668,"11",111.094794,"JAX00321703",9.07710683171613,FALSE
"ENSMUSG00000067700","Gm5862","5",26.017278,26.020097,26.022916,"15",39.802341,"UNC25418469",9.07013174349616,FALSE
"ENSMUSG00000030534","Vps33b","7",80.269649,80.280614,80.291579,"8",109.374343,"UNC15477711",9.0701088233083,FALSE
"ENSMUSG00000044968","Napepld","5",21.662901,21.682148,21.701396,"4",135.645674,"UNC8288138",9.0690537995028,FALSE
"ENSMUSG00000091609","Acer2","4",86.930691,86.932756,86.93482,"11",18.584531,"JAX00305110",9.06543837320436,FALSE
"ENSMUSG00000022706","Mrpl40","16",18.872018,18.874392,18.876767,"X",139.425706,"backupUNC200714769",9.06449994888477,FALSE
"ENSMUSG00000072849","Serpina1e","12",103.946931,103.952953,103.958975,"10",116.11227,"UNC18788324",9.0621695361994,FALSE
"ENSMUSG00000029735","Tpk1","6",43.345001,43.50564,43.666278,"4",31.385992,"UNC7002982",9.06118315513896,FALSE
"ENSMUSG00000071478","Hist1h2ad","13",23.574381,23.574666,23.574952,"17",90.68053,"UNC28592176",9.05758299212751,FALSE
"ENSMUSG00000021288","Klc1","12",111.758849,111.783346,111.807844,"9",27.219587,"JAX00688108",9.05548798908563,FALSE
"ENSMUSG00000032412","Atp1b3","9",96.33268,96.34849,96.364299,"2",44.128133,"UNC2959801",9.05407151401375,FALSE
"ENSMUSG00000029434","Vps33a","5",123.528764,123.55089,123.573015,"9",123.944987,"UNC17310990",9.05014025548395,FALSE
"ENSMUSG00000000708","Kat2b","17",53.566861,53.61979,53.67272,"10",114.897877,"UNC18769269",9.03839842628595,FALSE
"ENSMUSG00000084842","Pabpc1l2b-ps","X",103.013698,103.014042,103.014387,"19",55.99199,"UNC30542850",9.03658519283965,FALSE
"ENSMUSG00000003948","Mmd","11",90.187684,90.233136,90.278589,"15",15.729866,"UNC25096023",9.03112289287097,FALSE
"ENSMUSG00000072492","Gm10364","14",55.038462,55.04072,55.042979,"17",12.174994,"UNC27577002",9.02674574961268,FALSE
"ENSMUSG00000069601","Ank3","10",69.533772,69.780605,70.027438,"17",87.520028,"UNC170220162",9.02584703788473,FALSE
"ENSMUSG00000037712","Fermt2","14",45.458792,45.494455,45.530118,"11",36.130893,"UNC19414209",9.02022280750234,FALSE
"ENSMUSG00000037712","Fermt2","14",45.458792,45.494455,45.530118,"11",36.130893,"UNC19414209",9.02022280750234,FALSE
"ENSMUSG00000059263","Usp47","7",112.023506,112.067446,112.111386,"6",25.130966,"UNC10747623",9.01963200271089,FALSE
"ENSMUSG00000042605","Atxn2","5",121.711337,121.763915,121.816493,"3",32.807687,"UNC4991565",9.01843437007451,FALSE
"ENSMUSG00000053460","Ggcx","6",72.414308,72.42251,72.430712,"18",90.025186,"UNC29821485",9.01707816480482,FALSE
"ENSMUSG00000017740","Slc12a5","2",164.960816,164.980272,164.999727,"6",124.587703,"UNC12012808",9.01567351488976,FALSE
"ENSMUSG00000086259","5830403M04Rik","5",100.077962,100.086618,100.095273,"19",23.853319,"UNC30084655",9.01503604122343,FALSE
"ENSMUSG00000061898","Rbak","5",143.172186,143.17648,143.180775,"4",131.452837,"UNC8235093",9.01237739503292,FALSE
"ENSMUSG00000020651","Slc26a4","12",31.519827,31.539898,31.559969,"4",6.093981,"UNC6664886",9.00719566089466,FALSE
"ENSMUSG00000096232","0610012G03Rik","16",31.948024,31.948236,31.948448,"17",87.874269,"UNC28547376",8.98939734345624,FALSE
"ENSMUSG00000026181","Ppm1f","16",16.896469,16.911916,16.927364,"9",124.041013,"UNC17311628",8.98354123430811,FALSE
"ENSMUSG00000006398","Cdc20","4",118.432901,118.435126,118.437352,"13",111.868333,"JAX00370568",8.98279806603265,FALSE
"ENSMUSG00000086240","Gm7846","1",28.580498,28.580633,28.580768,"2",40.840034,"UNC2918735",8.98022320289425,FALSE
"ENSMUSG00000050608","Minos1","4",139.101814,139.116464,139.131113,"X",93.336418,"JAX00182041",8.97809746999163,FALSE
"ENSMUSG00000079677","Fdx1l","9",21.06752,21.070517,21.073514,"5",24.355403,"UNC8811558",8.97795476466642,FALSE
"ENSMUSG00000034758","Tle6","10",81.590904,81.595988,81.601073,"9",115.500741,"UNC17190246",8.97751361752869,FALSE
"ENSMUSG00000034101","Ctnnd1","2",84.600071,84.625418,84.650765,"9",121.087405,"JAX00176394",8.97732170983292,FALSE
"ENSMUSG00000015749","Anp32e","3",95.929246,95.938318,95.94739,"13",109.331086,"UNC23340613",8.97619718161849,FALSE
"ENSMUSG00000098302","RP24-421H18.2","5",106.557946,106.627258,106.696571,"18",69.642616,"UNC29526781",8.97540708033397,FALSE
"ENSMUSG00000095463","Entpd4","14",69.337174,69.352222,69.36727,"9",111.427289,"JAX00705483",8.97423832367528,FALSE
"ENSMUSG00000032551","1110059G10Rik","9",122.945089,122.948044,122.951,"X",95.086341,"UNC31108343",8.97387155663849,FALSE
"ENSMUSG00000006205","Htra1","7",130.936111,130.960886,130.98566,"X",139.808725,"UNC31384435",8.97383748260592,FALSE
"ENSMUSG00000036402","Gng12","6",66.896397,66.958874,67.02135,"12",36.821456,"UNC20907554",8.973103354912,FALSE
"ENSMUSG00000028033","Kcnq5","1",21.398403,21.680172,21.961942,"5",76.31198,"UNC9497824",8.96970620588549,FALSE
"ENSMUSG00000022090","Pdlim2","14",70.164218,70.17095,70.177681,"16",4.30379,"UNC26252398",8.96286119539861,FALSE
"ENSMUSG00000085589","A430078I02Rik","6",86.470805,86.475818,86.48083,"12",89.272856,"UNC21578659",8.95142853051067,FALSE
"ENSMUSG00000041476","Smpx","X",157.69891,157.72575,157.752591,"X",95.100033,"UNC31108402",8.94597344840098,FALSE
"ENSMUSG00000030067","Foxp1","6",98.925338,99.22403,99.522721,"19",57.69277,"UNC30568260",8.94479436183702,FALSE
"ENSMUSG00000078640","Gm11627","11",102.576398,102.57793,102.579461,"5",97.889033,"UNC9738961",8.940134298082,FALSE
"ENSMUSG00000028950","Tas1r1","4",152.027914,152.033241,152.038568,"1",170.642151,"UNC2188846",8.93941288923484,FALSE
"ENSMUSG00000027550","Lrrcc1","3",14.533788,14.553223,14.572658,"6",22.603838,"UNC10714142",8.93634624367357,FALSE
"ENSMUSG00000066838","Zfp772","7",7.202122,7.20606,7.209998,"3",145.390682,"UNC6459229",8.93578536765613,FALSE
"ENSMUSG00000042046","Dstyk","1",132.417453,132.442206,132.466959,"10",115.798167,"UNC18782940",8.93198215794061,FALSE
"ENSMUSG00000056091","St3gal5","6",72.097613,72.126092,72.15457,"10",23.394611,"UNC17580457",8.93074014457195,FALSE
"ENSMUSG00000038517","Tbkbp1","11",97.136171,97.143833,97.151495,"18",71.775506,"UNC29560580",8.92939000867797,FALSE
"ENSMUSG00000018341","Il12rb2","6",67.291318,67.333753,67.376188,"X",139.447328,"UNC31381370",8.92714735672272,FALSE
"ENSMUSG00000085172","Gm6542","18",36.609958,36.610344,36.610729,"16",76.585506,"UNC27157462",8.92206759878703,FALSE
"ENSMUSG00000082925","Gm13135","4",147.275976,147.277536,147.279096,"4",55.59721,"backupUNC040511515",8.92104470880967,FALSE
"ENSMUSG00000083817","Gm14400","2",177.225473,177.227218,177.228963,"17",51.414837,"UNC28000812",8.91971114811785,FALSE
"ENSMUSG00000059994","Fcrl1","3",87.376387,87.38426,87.392133,"12",86.623446,"UNC21552207",8.91575121666867,FALSE
"ENSMUSG00000086839","Gm11973","11",6.475425,6.48448,6.493535,"2",112.96392,"UNC3768692",8.91191290192159,FALSE
"ENSMUSG00000033386","Frrs1","3",116.878227,116.890988,116.90375,"19",23.795276,"UNC30083671",8.90545271929534,FALSE
"ENSMUSG00000099281","RP23-2C22.2","7",14.30478,14.305174,14.305569,"5",125.591192,"JAX00595720",8.90305062665781,FALSE
"ENSMUSG00000078291","Gm3940","1",52.090635,52.09085,52.091066,"8",114.260407,"UNC15537529",8.89971443413595,FALSE
"ENSMUSG00000024855","Pacs1","19",5.133688,5.203404,5.273119,"6",50.901778,"UNC11066440",8.89891292518196,FALSE
"ENSMUSG00000042225","Ammecr1","X",142.851146,142.908937,142.966728,"10",69.868205,"JAX00292067",8.89734178094967,FALSE
"ENSMUSG00000092094","Zfp804b","5",6.76903,6.822776,6.876523,"11",35.125782,"UNC19398305",8.8938991198173,FALSE
"ENSMUSG00000021703","Serinc5","13",92.611138,92.661541,92.711944,"10",58.908569,"UNC18034355",8.89262568266514,FALSE
"ENSMUSG00000044250","Pced1b","15",97.247107,97.316398,97.385689,"4",126.107194,"UNC8161205",8.88333473684037,FALSE
"ENSMUSG00000056121","Fez2","17",78.377885,78.398008,78.418131,"11",65.375339,"UNC19810329",8.8807106858329,FALSE
"ENSMUSG00000084882","Gm16047","7",45.630664,45.63187,45.633077,"9",115.889475,"UNC17196290",8.86918910971228,FALSE
"ENSMUSG00000039318","Rab3gap2","1",185.204168,185.245456,185.286743,"3",138.094774,"UNC6348828",8.86705547049998,FALSE
"ENSMUSG00000074517","Gm10710","3",83.125276,83.127261,83.129246,"11",51.40441,"UNC19614765",8.86362009361495,FALSE
"ENSMUSG00000029642","Polr1d","5",147.07705,147.094206,147.111361,"5",25.004,"UNC8819739",8.86347509987034,FALSE
"ENSMUSG00000086290","Snhg12","4",132.308678,132.309851,132.311024,"17",81.789254,"UNC28460360",8.85926529782199,FALSE
"ENSMUSG00000073236","2500004C02Rik","2",153.341157,153.343615,153.346073,"16",84.735191,"UNC27285478",8.85757460451227,FALSE
"ENSMUSG00000049721","Gal3st1","11",3.983636,3.991481,3.999326,"14",46.38433,"UNC23949541",8.85544687877054,FALSE
"ENSMUSG00000034285","Nipsnap1","11",4.873951,4.884076,4.8942,"1",42.631792,"UNC541737",8.84435306217321,FALSE
"ENSMUSG00000024430","Cabyr","18",12.741324,12.748235,12.755146,"2",151.92518,"UNC4237182",8.84314966148469,FALSE
"ENSMUSG00000039488","Cntn5","9",9.660891,10.282833,10.904775,"19",55.753391,"UNC30540066",8.84294619367664,FALSE
"ENSMUSG00000053173","Rpl18-ps2","6",128.313338,128.313649,128.31396,"2",19.23557,"UNC2673436",8.84025253603402,FALSE
