"lodcolumn","gene_id","gene_symbol","gene_chr","gene_start","gene_middle","gene_end","qtl_chr","qtl_pos","qtl_mkr","qtl_lod","cis"
"ENSMUSP00000103531","ENSMUSG00000030739","Myh14","7",44.605803,44.638323,44.670843,"3",147.295146,"JAX00541414",9.70585742548013,FALSE
"ENSMUSP00000102062","ENSMUSG00000016559","H3f3b","11",116.021912,116.024937,116.027962,"3",147.694028,"UNC6494500",9.67333836449789,FALSE
"ENSMUSP00000045111","ENSMUSG00000038880","Mrps34","17",24.895116,24.896309,24.897502,"5",40.32134,"UNC9016653",9.66996138154048,FALSE
"ENSMUSP00000023583","ENSMUSG00000022868","Ahsg","16",22.892042,22.89574,22.899438,"3",147.214132,"UNC6487473",9.52864231157787,FALSE
"ENSMUSP00000078654","ENSMUSG00000062328","Rpl17","18",75.000477,75.001929,75.003381,"3",148.035239,"UNC6499470",9.52043807546238,FALSE
"ENSMUSP00000034876","ENSMUSG00000032324","Tspan3","9",56.135885,56.148478,56.16107,"14",46.4074,"UNC23949725",9.51048264309321,FALSE
"ENSMUSP00000011934","ENSMUSG00000051747","Ttn","2",76.70398,76.843264,76.982547,"3",147.295992,"UNC6488545",9.50561298352657,FALSE
"ENSMUSP00000025305","ENSMUSG00000024436","Mrps18b","17",35.910379,35.913384,35.916389,"8",35.671552,"UNC14496155",9.34796173753836,FALSE
"ENSMUSP00000055470","ENSMUSG00000017291","Taok1","11",77.529162,77.568488,77.607815,"13",113.432935,"UNC23409060",9.34782249664197,FALSE
"ENSMUSP00000026144","ENSMUSG00000039450","Dcxr","11",120.725399,120.72634,120.727281,"16",12.092174,"UNC26349094",9.34381213920294,FALSE
"ENSMUSP00000030669","ENSMUSG00000028854","Slc9a1","4",133.369706,133.396704,133.423702,"2",70.494678,"JAX00492577",9.31745706044977,FALSE
"ENSMUSP00000125077","ENSMUSG00000003500","Impdh1","6",29.200434,29.208399,29.216364,"6",38.322613,"UNC10909861",9.31558552699733,FALSE
"ENSMUSP00000033156","ENSMUSG00000030868","Dctn5","7",122.133041,122.141042,122.149044,"1",106.72952,"UNC1345210",9.29913069286716,FALSE
"ENSMUSP00000099962","ENSMUSG00000062647","Rpl7a","2",26.910764,26.912041,26.913318,"3",147.694028,"UNC6494500",9.27785566687048,FALSE
"ENSMUSP00000035326","ENSMUSG00000036450","Hif1an","19",44.56285,44.569562,44.576274,"X",134.053315,"UNC31338777",9.27512843537863,FALSE
"ENSMUSP00000110371","ENSMUSG00000057914","Cacnb2","2",14.604306,14.796107,14.987908,"2",161.277865,"UNC4355278",9.27164800394782,FALSE
"ENSMUSP00000004868","ENSMUSG00000004748","Mtfp1","11",4.09148,4.093462,4.095445,"19",58.373399,"UNC30577415",9.15543331539333,FALSE
"ENSMUSP00000033560","ENSMUSG00000031214","Ophn1","X",98.554277,98.722651,98.891025,"11",54.689015,"UNC19655749",9.13597114674641,FALSE
"ENSMUSP00000028617","ENSMUSG00000027193","Api5","2",94.411682,94.424909,94.438136,"4",55.339735,"UNC7288237",9.13228044304683,FALSE
"ENSMUSP00000019833","ENSMUSG00000019689","1110001J03Rik","6",38.533502,38.536476,38.539449,"6",23.523511,"UNC10726981",9.1312124374042,FALSE
"ENSMUSP00000137309","ENSMUSG00000096210","H1f0","15",79.028212,79.029355,79.030498,"3",147.694028,"UNC6494500",9.07600305651046,FALSE
"ENSMUSP00000082017","ENSMUSG00000007411","Mark3","12",111.57451,111.615368,111.656227,"9",28.099442,"JAX00688309",9.07032511491232,FALSE
"ENSMUSP00000031617","ENSMUSG00000029614","Rpl6","5",121.204481,121.206861,121.209241,"3",145.695223,"UNC6464130",9.06045418392677,FALSE
"ENSMUSP00000007257","ENSMUSG00000007041","Clic1","17",35.049966,35.054358,35.058749,"1",31.663163,"UNC010062500",9.0563671298687,FALSE
"ENSMUSP00000055455","ENSMUSG00000022742","Cpox","16",58.670208,58.6753,58.680391,"4",135.645674,"UNC8288138",9.04168616397235,FALSE
"ENSMUSP00000099541","ENSMUSG00000058546","Rpl23a","11",78.180932,78.182258,78.183584,"3",146.91166,"UNC6483368",9.03548481407856,FALSE
"ENSMUSP00000029812","ENSMUSG00000028163","Nfkb1","3",135.584655,135.638101,135.691547,"7",128.529795,"UNC13823755",9.01370673144407,FALSE
"ENSMUSP00000044178","ENSMUSG00000034192","Lsm3","6",91.515928,91.519276,91.522625,"6",46.282652,"UNC11008929",9.0049906148956,FALSE
"ENSMUSP00000083281","ENSMUSG00000008036","Ap2s1","7",16.73841,16.743852,16.749294,"3",19.696709,"UNC4816788",8.99187362504197,FALSE
"ENSMUSP00000019283","ENSMUSG00000019139","Isyna1","8",70.594481,70.595884,70.597288,"11",60.30491,"backupUNC110090777",8.97719753976357,FALSE
"ENSMUSP00000023062","ENSMUSG00000022427","Tomm22","15",79.670861,79.671862,79.672862,"11",26.550944,"UNC19288276",8.95231010940086,FALSE
"ENSMUSP00000115615","ENSMUSG00000040752","Myh6","14",54.941921,54.954424,54.966927,"3",147.295992,"UNC6488545",8.93678288403285,FALSE
"ENSMUSP00000016138","ENSMUSG00000015994","Fnta","8",25.998729,26.007165,26.015601,"2",169.300666,"UNC4471893",8.93424769813309,FALSE
"ENSMUSP00000023269","ENSMUSG00000098274","RPL24","16",55.966275,55.968855,55.971435,"3",129.526429,"UNC6226864",8.90517651425933,FALSE
"ENSMUSP00000126825","ENSMUSG00000021282","Eif5","12",111.538101,111.542427,111.546753,"2",106.71648,"UNC3707191",8.89369473397957,FALSE
"ENSMUSP00000051080","ENSMUSG00000044072","Eml6","11",29.743048,29.88454,30.026033,"19",6.386045,"UNC29852402",8.88728457499991,FALSE
"ENSMUSP00000113307","ENSMUSG00000042492","Tbc1d10b","7",127.197465,127.202966,127.208468,"16",42.365904,"UNC26709158",8.87210004658717,FALSE
"ENSMUSP00000106968","ENSMUSG00000058076","Sdhc","1",171.127165,171.138884,171.150603,"2",9.785899,"UNC2552718",8.86906382062219,FALSE
"ENSMUSP00000137332","ENSMUSG00000096188","Cmtm4","8",104.348191,104.371999,104.395807,"2",150.998472,"UNC4230076",8.82847886710004,FALSE
"ENSMUSP00000048350","ENSMUSG00000034993","Vat1","11",101.458745,101.462488,101.46623,"16",73.320841,"UNC27109871",8.82249716048569,FALSE
"ENSMUSP00000027502","ENSMUSG00000026280","Atg4b","1",93.7515,93.770467,93.789434,"16",48.654185,"UNC26782625",8.80635913186152,FALSE
"ENSMUSP00000073171","ENSMUSG00000058240","Cryzl1","16",91.689322,91.709148,91.728975,"5",66.034943,"JAX00584770",8.79815439716019,FALSE
"ENSMUSP00000034164","ENSMUSG00000031729","Ist1","8",109.671322,109.682308,109.693294,"4",135.911634,"UNC8292193",8.79093132904728,FALSE
"ENSMUSP00000094318","ENSMUSG00000061118","Dnajc30","5",135.064206,135.064786,135.065365,"1",131.876736,"UNC1687139",8.78850846022431,FALSE
"ENSMUSP00000099878","ENSMUSG00000028495","Rps6","4",86.85466,86.856036,86.857412,"3",147.43051,"UNC6490313",8.78693626485533,FALSE
"ENSMUSP00000090672","ENSMUSG00000074652","Myh7b","2",155.611212,155.62276,155.634307,"3",146.91166,"UNC6483368",8.78058814828245,FALSE
"ENSMUSP00000104445","ENSMUSG00000078851","Hist3h2a","11",58.954685,58.95568,58.956674,"3",146.91166,"UNC6483368",8.77653532472356,FALSE
"ENSMUSP00000089680","ENSMUSG00000061315","Naca","10",128.035346,128.041992,128.048637,"3",129.496079,"UNC6226511",8.77039387507901,FALSE
"ENSMUSP00000034524","ENSMUSG00000032026","Rexo2","9",48.468514,48.474562,48.480611,"11",36.609476,"UNC19420257",8.75652131736637,FALSE
"ENSMUSP00000109151","ENSMUSG00000036026","Tmem63b","17",45.660171,45.673538,45.686905,"7",36.432899,"JAX00635825",8.75234169403722,FALSE
"ENSMUSP00000108469","ENSMUSG00000046709","Mapk10","5",102.907948,103.059641,103.211334,"7",122.223931,"UNC13755033",8.73817878360543,FALSE
"ENSMUSP00000022060","ENSMUSG00000021576","Pdcd6","13",74.303121,74.310224,74.317326,"10",79.888584,"UNC18297124",8.72802121732034,FALSE
"ENSMUSP00000108526","ENSMUSG00000026279","Thap4","1",93.705391,93.730114,93.754838,"7",120.869554,"UNC13740748",8.71199324478556,FALSE
"ENSMUSP00000117583","ENSMUSG00000050608","Minos1","4",139.101814,139.116464,139.131113,"16",7.052266,"UNC26286240",8.68212971921385,FALSE
"ENSMUSP00000032597","ENSMUSG00000030432","Rpl28","7",4.792874,4.793718,4.794562,"3",147.43051,"UNC6490313",8.68025807952388,FALSE
"ENSMUSP00000024739","ENSMUSG00000023944","Hsp90ab1","17",45.567775,45.570523,45.573271,"7",29.739867,"UNC070628845",8.66837090253368,FALSE
"ENSMUSP00000083835","ENSMUSG00000050017","Pitpnb","5",111.330763,111.359561,111.388359,"4",152.759982,"UNC8485273",8.66637043459911,FALSE
"ENSMUSP00000025278","ENSMUSG00000024414","Mrpl27","11",94.653767,94.656928,94.660089,"10",74.029971,"JAX00019567",8.65973822923918,FALSE
"ENSMUSP00000013693","ENSMUSG00000029213","Commd8","5",72.157,72.162592,72.168183,"5",81.03304,"UNC9563030",8.64879729417303,FALSE
"ENSMUSP00000039537","ENSMUSG00000033405","Nudt15","14",73.519864,73.534053,73.548242,"13",64.897416,"UNC22762880",8.6447857534256,FALSE
"ENSMUSP00000027769","ENSMUSG00000026492","Tfb2m","1",179.528055,179.537161,179.546267,"19",6.828231,"UNC29855954",8.64366843517107,FALSE
"ENSMUSP00000063166","ENSMUSG00000050697","Prkaa1","15",5.143861,5.16288,5.181899,"10",80.19441,"UNC18298947",8.63664000684263,FALSE
"ENSMUSP00000003655","ENSMUSG00000003559","As3mt","19",46.707443,46.724269,46.741095,"9",59.084239,"JAX00695405",8.63007068816865,FALSE
"ENSMUSP00000033763","ENSMUSG00000031388","Naa10","X",73.916873,73.919408,73.921944,"3",95.457723,"UNC5782288",8.62959111464457,FALSE
"ENSMUSP00000028551","ENSMUSG00000027131","Emc4","2",112.363011,112.365519,112.368027,"9",28.564327,"JAX00688419",8.6257939575729,FALSE
"ENSMUSP00000126603","ENSMUSG00000021302","Ggps1","13",14.052449,14.057925,14.063401,"5",44.793557,"UNC9077501",8.59250752630678,FALSE
"ENSMUSP00000013970","ENSMUSG00000025417","Pip4k2c","10",127.197067,127.204344,127.211622,"12",112.377442,"UNC21908416",8.57128359502502,FALSE
"ENSMUSP00000119166","ENSMUSG00000028996","Rbp7","4",149.449687,149.452332,149.454978,"15",38.525427,"UNC25401726",8.56101845070503,FALSE
"ENSMUSP00000099403","ENSMUSG00000004040","Stat3","11",100.885098,100.912319,100.93954,"2",144.059556,"UNC4139799",8.55709838812971,FALSE
"ENSMUSP00000103261","ENSMUSG00000028080","Lrba","3",86.22469,86.503692,86.782693,"8",60.653875,"UNC14845127",8.55656279246443,FALSE
"ENSMUSP00000109630","ENSMUSG00000024908","Ppp6r3","19",3.454933,3.515341,3.575749,"1",168.118843,"UNC2149130",8.54577493562343,FALSE
"ENSMUSP00000030834","ENSMUSG00000028978","Nos3","5",24.36481,24.374642,24.384474,"3",126.046973,"UNC6173169",8.5392895734157,FALSE
"ENSMUSP00000022954","ENSMUSG00000022332","Khdrbs3","15",68.92842,69.010966,69.093512,"3",95.096023,"UNC5778977",8.53699564380199,FALSE
"ENSMUSP00000031423","ENSMUSG00000029467","Atp2a2","5",122.442702,122.472464,122.502225,"17",16.072852,"UNC27609586",8.52731956296757,FALSE
"ENSMUSP00000042053","ENSMUSG00000033039","Micall1","15",79.108972,79.122934,79.136897,"18",80.402179,"UNC29691266",8.52066696490353,FALSE
"ENSMUSP00000030076","ENSMUSG00000028382","Ptbp3","4",59.471868,59.510616,59.549364,"8",67.082673,"UNC14933225",8.51093528679431,FALSE
"ENSMUSP00000025474","ENSMUSG00000024581","Napg","18",62.977836,62.988643,62.99945,"5",121.941554,"UNC10050350",8.4914096981253,FALSE
"ENSMUSP00000018431","ENSMUSG00000018287","Spag7","11",70.663771,70.666594,70.669416,"14",87.214389,"JAX00386167",8.48825607873724,FALSE
"ENSMUSP00000003906","ENSMUSG00000003808","Farsa","8",84.856989,84.863123,84.869257,"1",155.192929,"UNC1994761",8.47938015928075,FALSE
"ENSMUSP00000001675","ENSMUSG00000001630","Stk38l","6",146.724995,146.751904,146.778812,"1",164.719227,"UNC2103620",8.47790318506367,FALSE
"ENSMUSP00000108734","ENSMUSG00000079427","Gm2382","9",88.688605,88.704202,88.719798,"2",173.869006,"UNC4547523",8.47423666917128,FALSE
"ENSMUSP00000002825","ENSMUSG00000002748","Baz1b","5",135.187264,135.216696,135.246129,"2",58.398116,"UNC3132074",8.46418969604559,FALSE
"ENSMUSP00000107285","ENSMUSG00000058267","Mrps14","1",160.195215,160.198692,160.20217,"5",52.635219,"UNC9187763",8.45654616473467,FALSE
"ENSMUSP00000032422","ENSMUSG00000030284","Creld1","6",113.483297,113.488318,113.493338,"7",103.361393,"UNC13519153",8.45348724932564,FALSE
"ENSMUSP00000002808","ENSMUSG00000002731","Prkra","2",76.629898,76.638956,76.648015,"1",181.058861,"UNC2316495",8.44636089887769,FALSE
"ENSMUSP00000024739","ENSMUSG00000023944","Hsp90ab1","17",45.567775,45.570523,45.573271,"5",148.097306,"UNC10408138",8.44606213150749,FALSE
"ENSMUSP00000049737","ENSMUSG00000061462","Obscn","11",58.994256,59.065329,59.136402,"3",147.295992,"UNC6488545",8.44562793576219,FALSE
"ENSMUSP00000025631","ENSMUSG00000024725","Ostf1","19",18.579328,18.605558,18.631789,"3",147.694028,"UNC6494500",8.44259621717636,FALSE
"ENSMUSP00000025786","ENSMUSG00000024855","Pacs1","19",5.133688,5.203404,5.273119,"5",63.09287,"UNC050377082",8.43178080359756,FALSE
"ENSMUSP00000074399","ENSMUSG00000031511","Arhgef7","8",11.728105,11.781662,11.835219,"8",124.930106,"JAX00683340",8.43118150676763,FALSE
"ENSMUSP00000001927","ENSMUSG00000001870","Ltbp1","17",75.005568,75.19904,75.392512,"18",49.462172,"UNC29226924",8.42986355111203,FALSE
"ENSMUSP00000115062","ENSMUSG00000054889","Dsp","13",38.151328,38.174952,38.198577,"3",146.809151,"UNC6481537",8.42603727957914,FALSE
"ENSMUSP00000020339","ENSMUSG00000020130","Tbc1d15","10",115.197877,115.224685,115.251493,"5",131.182978,"UNC10181895",8.42422996571542,FALSE
"ENSMUSP00000054856","ENSMUSG00000059534","Uqcr10","11",4.701973,4.703158,4.704342,"5",58.436935,"JAX00583534",8.41311783701924,FALSE
"ENSMUSP00000027512","ENSMUSG00000026289","Atg16l1","1",87.75587,87.774149,87.792428,"7",27.528863,"JAX00633926",8.41148664621795,FALSE
"ENSMUSP00000034876","ENSMUSG00000032324","Tspan3","9",56.135885,56.148478,56.16107,"7",131.940252,"UNC13874983",8.40959660975414,FALSE
"ENSMUSP00000034239","ENSMUSG00000031787","Katnb1","8",95.081201,95.090538,95.099874,"5",129.966341,"UNC10164304",8.4086906065809,FALSE
"ENSMUSP00000117690","ENSMUSG00000000827","Tpd52l2","2",181.497142,181.507554,181.517966,"13",100.723437,"UNC23220027",8.39332331743405,FALSE
"ENSMUSP00000115419","ENSMUSG00000017778","Cox7c","13",86.044816,86.04586,86.046904,"13",57.397002,"UNC22672192",8.39291586166569,FALSE
"ENSMUSP00000030033","ENSMUSG00000028348","Murc","4",48.663514,48.668508,48.673502,"12",108.3067,"UNC21854003",8.39177496993842,FALSE
"ENSMUSP00000115419","ENSMUSG00000017778","Cox7c","13",86.044816,86.04586,86.046904,"7",36.542817,"UNC12633612",8.38469998841899,FALSE
"ENSMUSP00000021574","ENSMUSG00000021149","Gtpbp4","13",8.972071,8.984044,8.996017,"14",9.716963,"UNC140019920",8.38003227748473,FALSE
"ENSMUSP00000094318","ENSMUSG00000061118","Dnajc30","5",135.064206,135.064786,135.065365,"10",51.8913,"UNC17957144",8.37265372099862,FALSE
"ENSMUSP00000079937","ENSMUSG00000029156","Sgcb","5",73.632749,73.640231,73.647713,"18",65.700813,"UNC29463823",8.35801278106744,FALSE
"ENSMUSP00000051621","ENSMUSG00000061273","Mmgt1","X",56.585512,56.59179,56.598069,"7",134.726402,"UNC13914744",8.35556381875858,FALSE
"ENSMUSP00000138753","ENSMUSG00000032826","Ank2","3",126.921606,127.210432,127.499259,"3",147.694028,"UNC6494500",8.35320902231819,FALSE
"ENSMUSP00000071914","ENSMUSG00000005417","Mprip","11",59.661305,59.721082,59.78086,"9",102.086664,"UNC17007378",8.35192975122568,FALSE
"ENSMUSP00000124258","ENSMUSG00000054509","Parp4","14",56.575619,56.617706,56.659794,"3",17.886724,"UNC4791745",8.34650725287875,FALSE
"ENSMUSP00000055455","ENSMUSG00000022742","Cpox","16",58.670208,58.6753,58.680391,"12",79.873935,"UNC21470690",8.34417575995458,FALSE
"ENSMUSP00000027356","ENSMUSG00000026170","Cyp27a1","1",74.713574,74.725732,74.73789,"5",60.703891,"UNC9294354",8.33773524462633,FALSE
"ENSMUSP00000040126","ENSMUSG00000042099","Kank3","17",33.81052,33.816719,33.822918,"3",136.232766,"UNC6321948",8.33319079905285,FALSE
"ENSMUSP00000057238","ENSMUSG00000044155","Naa38","6",18.848579,18.852165,18.855751,"12",8.363437,"backupUNC120346593",8.33198366171569,FALSE
"ENSMUSP00000003720","ENSMUSG00000003623","Crot","5",8.966033,8.981678,8.997324,"18",74.06256,"JAX00085068",8.32934970886433,FALSE
"ENSMUSP00000034464","ENSMUSG00000031983","2310022B05Rik","8",124.635766,124.649568,124.663369,"9",28.15895,"UNC16054223",8.32243376055189,FALSE
"ENSMUSP00000002603","ENSMUSG00000022568","Scrib","15",76.047158,76.058471,76.069784,"9",118.970787,"UNC17244291",8.32138018328758,FALSE
"ENSMUSP00000005256","ENSMUSG00000005125","Ndrg1","15",66.929321,66.94948,66.96964,"9",103.3511,"UNC17023400",8.31124390561251,FALSE
"ENSMUSP00000031099","ENSMUSG00000029198","Grpel1","5",36.464998,36.469539,36.47408,"7",29.500586,"UNC12558731",8.31005220064767,FALSE
"ENSMUSP00000021407","ENSMUSG00000073079","Srp54a","12",55.089202,55.101046,55.112891,"3",147.295992,"UNC6488545",8.30773527240853,FALSE
"ENSMUSP00000068790","ENSMUSG00000055670","Zzef1","11",72.796226,72.861673,72.92712,"12",27.600863,"UNC20778273",8.29963030199986,FALSE
"ENSMUSP00000024978","ENSMUSG00000073435","Nme3","17",24.8965,24.897011,24.897522,"17",22.356083,"UNC27671870",8.29827412812739,TRUE
"ENSMUSP00000002011","ENSMUSG00000001946","Esam","9",37.528078,37.533198,37.538319,"4",154.084317,"UNC8507313",8.2978627655634,FALSE
"ENSMUSP00000111242","ENSMUSG00000004631","Sgce","6",4.67435,4.710777,4.747204,"14",30.204377,"JAX00204586",8.29487611981235,FALSE
"ENSMUSP00000112638","ENSMUSG00000028779","Pef1","4",130.102558,130.115346,130.128135,"1",90.90468,"JAX00006553",8.29318271100624,FALSE
"ENSMUSP00000105112","ENSMUSG00000027652","Ralgapb","2",158.409848,158.45455,158.499253,"4",148.855318,"JAX00570279",8.2918533313536,FALSE
"ENSMUSP00000034945","ENSMUSG00000032381","Fam96a","9",66.126611,66.132783,66.138955,"3",61.292773,"JAX00108068",8.29167300886733,FALSE
"ENSMUSP00000124846","ENSMUSG00000022858","Tra2b","16",22.244549,22.255277,22.266005,"10",74.855471,"JAX00019633",8.29158855085707,FALSE
"ENSMUSP00000124258","ENSMUSG00000054509","Parp4","14",56.575619,56.617706,56.659794,"2",151.92518,"UNC4237182",8.2884750271559,FALSE
"ENSMUSP00000133026","ENSMUSG00000091537","Tma7","9",109.077988,109.080184,109.082381,"11",28.504245,"JAX00306649",8.28752721995556,FALSE
"ENSMUSP00000048742","ENSMUSG00000040859","Bsdc1","4",129.461581,129.47504,129.488498,"5",53.970267,"UNC9205424",8.2768678743698,FALSE
"ENSMUSP00000058279","ENSMUSG00000051671","Coa6","8",126.422501,126.423968,126.425434,"3",11.119314,"backupUNC030002827",8.27075103821732,FALSE
"ENSMUSP00000129789","ENSMUSG00000064030","Wibg","10",128.747879,128.757224,128.766568,"2",132.61599,"UNC3993541",8.2707125693277,FALSE
"ENSMUSP00000117509","ENSMUSG00000050627","Gpd1l","9",114.899341,114.916664,114.933987,"5",27.383065,"UNC8852133",8.26089539299955,FALSE
"ENSMUSP00000019638","ENSMUSG00000019494","Cops6","5",138.161071,138.162858,138.164646,"3",149.927662,"UNC6522631",8.26009371079443,FALSE
"ENSMUSP00000079379","ENSMUSG00000058355","Abce1","8",79.683442,79.697591,79.71174,"3",39.600481,"UNC5092959",8.25341866498075,FALSE
"ENSMUSP00000036338","ENSMUSG00000041797","Abca9","11",110.100749,110.134472,110.168196,"7",39.774066,"JAX00636512",8.24633472466097,FALSE
"ENSMUSP00000022597","ENSMUSG00000022020","Naa16","14",79.334204,79.362491,79.390778,"8",17.033701,"CEBJAX00159275",8.24583539811554,FALSE
"ENSMUSP00000117447","ENSMUSG00000051747","Ttn","2",76.70398,76.843264,76.982547,"3",148.896076,"UNC6511155",8.23995622615652,FALSE
"ENSMUSP00000041652","ENSMUSG00000041453","Rpl21","5",146.83289,146.834961,146.837032,"3",130.171168,"UNC6237569",8.23936081454548,FALSE
"ENSMUSP00000044361","ENSMUSG00000031715","Smarca5","8",80.698507,80.719002,80.739497,"6",15.200497,"UNC10611061",8.23813024451818,FALSE
"ENSMUSP00000060421","ENSMUSG00000024780","Cdc37l1","19",28.990494,29.004032,29.017569,"4",95.589384,"UNC7777608",8.2365620453773,FALSE
"ENSMUSP00000081547","ENSMUSG00000066979","Bub3","7",131.560391,131.566144,131.571898,"13",91.343903,"UNC23080604",8.23511892851793,FALSE
"ENSMUSP00000113783","ENSMUSG00000019823","Mical1","10",41.476314,41.481673,41.487032,"1",13.604982,"UNC135474",8.23250144392287,FALSE
"ENSMUSP00000030805","ENSMUSG00000028964","Park7","4",150.897133,150.905785,150.914437,"9",95.004688,"UNC16910753",8.21297473237963,FALSE
"ENSMUSP00000029783","ENSMUSG00000028136","Snx27","3",94.497544,94.54013,94.582716,"14",106.140656,"JAX00056961",8.21273792222626,FALSE
"ENSMUSP00000001569","ENSMUSG00000059714","Flot1","17",35.82323,35.82801,35.832791,"3",138.587052,"UNC6356127",8.21251981002601,FALSE
"ENSMUSP00000014546","ENSMUSG00000014402","Tsg101","7",46.888949,46.904459,46.919969,"10",75.445657,"backupUNC101408810",8.20768842455816,FALSE
"ENSMUSP00000109630","ENSMUSG00000024908","Ppp6r3","19",3.454933,3.515341,3.575749,"7",136.435574,"UNC13938621",8.19990628390569,FALSE
"ENSMUSP00000006544","ENSMUSG00000006378","Gcat","15",79.030874,79.037216,79.043558,"7",40.602119,"UNC12680825",8.19345689286679,FALSE
"ENSMUSP00000133026","ENSMUSG00000091537","Tma7","9",109.077988,109.080184,109.082381,"3",127.379841,"UNC6195907",8.18292540300019,FALSE
"ENSMUSP00000025804","ENSMUSG00000024870","Rab1b","19",5.099207,5.103102,5.106996,"6",125.172013,"UNC12017932",8.17097186108682,FALSE
"ENSMUSP00000033185","ENSMUSG00000030895","Hpx","7",105.591613,105.595864,105.600116,"19",44.773561,"UNC30375665",8.17053284633737,FALSE
"ENSMUSP00000104957","ENSMUSG00000061474","Mrps36","13",100.735955,100.740307,100.744659,"18",46.432884,"UNC180239546",8.16364116681645,FALSE
"ENSMUSP00000062747","ENSMUSG00000026986","Hnmt","2",24.00291,24.026152,24.049394,"3",137.921098,"UNC6345641",8.162481817685,FALSE
"ENSMUSP00000020171","ENSMUSG00000019997","Ctgf","10",24.595442,24.597062,24.598683,"7",6.753782,"UNC12400911",8.16187211592419,FALSE
"ENSMUSP00000021617","ENSMUSG00000021200","Asb2","12",103.321142,103.338572,103.356001,"4",149.758474,"UNC8439349",8.15738766717425,FALSE
"ENSMUSP00000032749","ENSMUSG00000030534","Vps33b","7",80.269649,80.280614,80.291579,"8",47.595018,"UNC14676425",8.1531184547046,FALSE
"ENSMUSP00000128967","ENSMUSG00000052337","Immt","6",71.831331,71.853294,71.875257,"3",34.79986,"UNC5019615",8.14755144342991,FALSE
"ENSMUSP00000022345","ENSMUSG00000021811","Dnajc9","14",20.384638,20.386774,20.38891,"12",30.248215,"UNC20818326",8.14668685546716,FALSE
"ENSMUSP00000066990","ENSMUSG00000054312","Mrps21","3",95.862634,95.867076,95.871519,"4",44.994839,"UNC7156173",8.13005405389665,FALSE
"ENSMUSP00000030134","ENSMUSG00000028426","Rad23b","4",55.350043,55.37114,55.392237,"13",103.211043,"UNC23253080",8.12390082059436,FALSE
"ENSMUSP00000039633","ENSMUSG00000052698","Tln2","9",67.217087,67.388395,67.559703,"12",100.72161,"JAX00039700",8.12295300666776,FALSE
"ENSMUSP00000032967","ENSMUSG00000030725","Lipt2","7",100.159277,100.160321,100.161365,"4",10.893452,"JAX00545092",8.12127058930492,FALSE
"ENSMUSP00000072154","ENSMUSG00000014932","Yes1","5",32.611171,32.649118,32.687066,"3",72.499675,"UNC5511273",8.11993322969801,FALSE
"ENSMUSP00000106004","ENSMUSG00000027367","Stard7","2",127.270218,127.284575,127.298932,"9",68.684474,"UNC16563147",8.11889034548105,FALSE
"ENSMUSP00000076093","ENSMUSG00000019820","Utrn","10",12.382188,12.621962,12.861735,"12",100.743823,"UNC21750535",8.11654091875336,FALSE
